site,visit_date,datum,am_date,factor,count,species,alive,dead,uid,geometry,lon_gda94,lat_gda94,alv_prop,ded_prop,total_prop,avg_alive,avg_dead,avg_total,cor_av_liv,cor_av_ded,cor_av_tot,co_ef_nme,leaves,leaves_r2,twigs,bark,bark_r2,wood,wood_r2,branches,branches_r2,stems,stems_r2,agb,agb_r2,root,root_r2,tot_bm,total_alv_ba,total_ded_ba,total_ba,c_leaves,c_twigs,c_bark,c_wood,c_branches,c_stems,c_agb,c_roots
LC1_1_1,2001-01-09,GDA94,20010109,0.75,3,Alstonia actinophylla,3,0.0,1,POINT (131.1769486584139 -14.01805403273528),131.17694865841386,-14.018054032735277,0.01756337450968913,0.0,0.01588814744200826,1.0,0.0,1.0,0.75,0.0,0.75,Tefe,93,0.89,97,379,0.92,1233,0.92,935,0.83,1612,0.92,2640,0.91,542,0.57,3182,0.0001317253088226685,0.0,0.00011916110581506196,0.011081982840800763,0.01155862726406101,0.04516205910390848,0.1469256434699714,0.11141563393708294,0.1920877025738799,0.3145853193517636,0.06458531935176358
LC1_1_1,2001-01-09,GDA94,20010109,0.75,3,Corymbia polycarpa,2,0.0,2,POINT (131.1769486584139 -14.01805403273528),131.17694865841386,-14.018054032735277,0.011708916339792751,0.0,0.010592098294672173,0.6666666666666666,0.0,0.6666666666666666,0.5,0.0,0.5,Tefe,93,0.89,97,379,0.92,1233,0.92,935,0.83,1612,0.92,2640,0.91,542,0.57,3182,5.854458169896376e-05,0.0,5.2960491473360864e-05,0.004925325707022561,0.005137167672916004,0.020072026268403768,0.06530028598665394,0.04951805952759241,0.08537231225505772,0.13981569748967268,0.02870458637856159
LC1_1_1,2001-01-09,GDA94,20010109,0.75,3,E. chlorostachys,6,0.0,3,POINT (131.1769486584139 -14.01805403273528),131.17694865841386,-14.018054032735277,0.03512674901937826,0.0,0.03177629488401652,2.0,0.0,2.0,1.5,0.0,1.5,Erch,154,0.75,160,401,0.95,1044,0.92,814,0.62,1445,0.93,2413,0.82,542,0.57,2955,0.000526901235290674,0.0,0.00047664442326024784,0.07340324118207817,0.07626310772163966,0.19113441372735937,0.49761677788369874,0.38798856053384173,0.6887511916110581,1.150142993326978,0.2583412774070543
LC1_1_1,2001-01-09,GDA94,20010109,0.75,3,Brachychiton diversifolius,3,0.0,4,POINT (131.1769486584139 -14.01805403273528),131.17694865841386,-14.018054032735277,0.01756337450968913,0.0,0.01588814744200826,1.0,0.0,1.0,0.75,0.0,0.75,Tefe,93,0.89,97,379,0.92,1233,0.92,935,0.83,1612,0.92,2640,0.91,542,0.57,3182,0.0001317253088226685,0.0,0.00011916110581506196,0.011081982840800763,0.01155862726406101,0.04516205910390848,0.1469256434699714,0.11141563393708294,0.1920877025738799,0.3145853193517636,0.06458531935176358
LC1_1_1,2001-01-09,GDA94,20010109,0.75,3,Acacia auriculiformis,3,0.0,5,POINT (131.1769486584139 -14.01805403273528),131.17694865841386,-14.018054032735277,0.01756337450968913,0.0,0.01588814744200826,1.0,0.0,1.0,0.75,0.0,0.75,Tefe,93,0.89,97,379,0.92,1233,0.92,935,0.83,1612,0.92,2640,0.91,542,0.57,3182,0.0001317253088226685,0.0,0.00011916110581506196,0.011081982840800763,0.01155862726406101,0.04516205910390848,0.1469256434699714,0.11141563393708294,0.1920877025738799,0.3145853193517636,0.06458531935176358
LC1_1_1,2001-01-09,GDA94,20010109,0.75,3,others,27,0.0,6,POINT (131.1769486584139 -14.01805403273528),131.17694865841386,-14.018054032735277,0.15807037058720216,0.0,0.14299332697807435,9.0,0.0,9.0,6.75,0.0,6.75,Tefe,93,0.89,97,379,0.92,1233,0.92,935,0.83,1612,0.92,2640,0.91,542,0.57,3182,0.010669750014636145,0.0,0.009652049571020019,0.8976406101048617,0.9362488083889419,3.6581267874165873,11.900977121067683,9.024666348903718,15.55910390848427,25.48141086749285,5.23141086749285
LC1_1_1,2001-01-09,GDA94,20010109,0.75,3,dead,0,2.0,7,POINT (131.1769486584139 -14.01805403273528),131.17694865841386,-14.018054032735277,0.0,0.11104941699056081,0.010592098294672173,0.0,0.6666666666666666,0.6666666666666666,0.0,0.8888888888888888,0.8888888888888888,Tefe,93,0.89,97,379,0.92,1233,0.92,935,0.83,1612,0.92,2640,0.91,542,0.57,3182,0.0,0.000987105928804985,9.415198484153042e-05,0.008756134590262329,0.00913274252962845,0.03568360225494003,0.116089397309607,0.08803210582683094,0.15177299956454704,0.2485612399816403,0.05103037578410949
LC1_1_1,2001-01-09,GDA94,20010109,0.75,3,Canarium sp.,3,0.0,8,POINT (131.1769486584139 -14.01805403273528),131.17694865841386,-14.018054032735277,0.01756337450968913,0.0,0.01588814744200826,1.0,0.0,1.0,0.75,0.0,0.75,Tefe,93,0.89,97,379,0.92,1233,0.92,935,0.83,1612,0.92,2640,0.91,542,0.57,3182,0.0001317253088226685,0.0,0.00011916110581506196,0.011081982840800763,0.01155862726406101,0.04516205910390848,0.1469256434699714,0.11141563393708294,0.1920877025738799,0.3145853193517636,0.06458531935176358
LC1_1_1,2001-01-09,GDA94,20010109,0.75,3,Eucalyptus sp.,3,0.0,9,POINT (131.1769486584139 -14.01805403273528),131.17694865841386,-14.018054032735277,0.01756337450968913,0.0,0.01588814744200826,1.0,0.0,1.0,0.75,0.0,0.75,Tefe,93,0.89,97,379,0.92,1233,0.92,935,0.83,1612,0.92,2640,0.91,542,0.57,3182,0.0001317253088226685,0.0,0.00011916110581506196,0.011081982840800763,0.01155862726406101,0.04516205910390848,0.1469256434699714,0.11141563393708294,0.1920877025738799,0.3145853193517636,0.06458531935176358
LC1_1_1,2001-01-09,GDA94,20010109,0.75,3,Acacia auriculiformis,3,0.0,10,POINT (131.1769486584139 -14.01805403273528),131.17694865841386,-14.018054032735277,0.01756337450968913,0.0,0.01588814744200826,1.0,0.0,1.0,0.75,0.0,0.75,Tefe,93,0.89,97,379,0.92,1233,0.92,935,0.83,1612,0.92,2640,0.91,542,0.57,3182,0.0001317253088226685,0.0,0.00011916110581506196,0.011081982840800763,0.01155862726406101,0.04516205910390848,0.1469256434699714,0.11141563393708294,0.1920877025738799,0.3145853193517636,0.06458531935176358
