site,visit_date,datum,am_date,factor,count,species,alive,dead,uid,geometry,lon_gda94,lat_gda94,alv_prop,ded_prop,total_prop,avg_alive,avg_dead,avg_total,cor_av_liv,cor_av_ded,cor_av_tot
LC1_1_1,2001-01-09,GDA94,20010109,0.75,3,Alstonia actinophylla,3,0.0,1,POINT (131.1769486584139 -14.01805403273528),131.17694865841386,-14.018054032735277,0.01756337450968913,0.0,0.01588814744200826,1.0,0.0,1.0,0.75,0.0,0.75
LC1_1_1,2001-01-09,GDA94,20010109,0.75,3,Corymbia polycarpa,2,0.0,2,POINT (131.1769486584139 -14.01805403273528),131.17694865841386,-14.018054032735277,0.011708916339792751,0.0,0.010592098294672173,0.6666666666666666,0.0,0.6666666666666666,0.5,0.0,0.5
LC1_1_1,2001-01-09,GDA94,20010109,0.75,3,E. chlorostachys,6,0.0,3,POINT (131.1769486584139 -14.01805403273528),131.17694865841386,-14.018054032735277,0.03512674901937826,0.0,0.03177629488401652,2.0,0.0,2.0,1.5,0.0,1.5
LC1_1_1,2001-01-09,GDA94,20010109,0.75,3,Brachychiton diversifolius,3,0.0,4,POINT (131.1769486584139 -14.01805403273528),131.17694865841386,-14.018054032735277,0.01756337450968913,0.0,0.01588814744200826,1.0,0.0,1.0,0.75,0.0,0.75
LC1_1_1,2001-01-09,GDA94,20010109,0.75,3,Acacia auriculiformis,3,0.0,5,POINT (131.1769486584139 -14.01805403273528),131.17694865841386,-14.018054032735277,0.01756337450968913,0.0,0.01588814744200826,1.0,0.0,1.0,0.75,0.0,0.75
LC1_1_1,2001-01-09,GDA94,20010109,0.75,3,others,27,0.0,6,POINT (131.1769486584139 -14.01805403273528),131.17694865841386,-14.018054032735277,0.15807037058720216,0.0,0.14299332697807435,9.0,0.0,9.0,6.75,0.0,6.75
LC1_1_1,2001-01-09,GDA94,20010109,0.75,3,dead,0,2.0,7,POINT (131.1769486584139 -14.01805403273528),131.17694865841386,-14.018054032735277,0.0,0.11104941699056081,0.010592098294672173,0.0,0.6666666666666666,0.6666666666666666,0.0,0.8888888888888888,0.8888888888888888
LC1_1_1,2001-01-09,GDA94,20010109,0.75,3,Canarium sp.,3,0.0,8,POINT (131.1769486584139 -14.01805403273528),131.17694865841386,-14.018054032735277,0.01756337450968913,0.0,0.01588814744200826,1.0,0.0,1.0,0.75,0.0,0.75
LC1_1_1,2001-01-09,GDA94,20010109,0.75,3,Eucalyptus sp.,3,0.0,9,POINT (131.1769486584139 -14.01805403273528),131.17694865841386,-14.018054032735277,0.01756337450968913,0.0,0.01588814744200826,1.0,0.0,1.0,0.75,0.0,0.75
LC1_1_1,2001-01-09,GDA94,20010109,0.75,3,Acacia auriculiformis,3,0.0,10,POINT (131.1769486584139 -14.01805403273528),131.17694865841386,-14.018054032735277,0.01756337450968913,0.0,0.01588814744200826,1.0,0.0,1.0,0.75,0.0,0.75
LC1_1_1,2001-01-09,GDA94,20010109,0.75,3,E. tetrodonta,1,0.0,11,POINT (131.1769486584139 -14.01805403273528),131.17694865841386,-14.018054032735277,0.0058544581698963755,0.0,0.005296049147336087,0.3333333333333333,0.0,0.3333333333333333,0.25,0.0,0.25
LC1_2_2,2001-01-09,GDA94,20010109,0.75,3,Brachychiton diversifolius,4,0.0,12,POINT (131.1604381990902 -12.21085263029459),131.16043819909015,-12.210852630294585,0.023417832679585502,0.0,0.021184196589344347,1.3333333333333333,0.0,1.3333333333333333,1.0,0.0,1.0
LC1_2_2,2001-01-09,GDA94,20010109,0.75,3,Canarium australianum,3,0.0,13,POINT (131.1604381990902 -12.21085263029459),131.16043819909015,-12.210852630294585,0.01756337450968913,0.0,0.01588814744200826,1.0,0.0,1.0,0.75,0.0,0.75
LC1_2_2,2001-01-09,GDA94,20010109,0.75,3,Corymbia polycarpa,2,0.0,14,POINT (131.1604381990902 -12.21085263029459),131.16043819909015,-12.210852630294585,0.011708916339792751,0.0,0.010592098294672173,0.6666666666666666,0.0,0.6666666666666666,0.5,0.0,0.5
LC1_2_2,2001-01-09,GDA94,20010109,0.75,3,E. chlorostachys,7,0.0,15,POINT (131.1604381990902 -12.21085263029459),131.16043819909015,-12.210852630294585,0.04098120718927463,0.0,0.03707234403135261,2.3333333333333335,0.0,2.3333333333333335,1.75,0.0,1.75
LC1_2_2,2001-01-09,GDA94,20010109,0.75,3,others,27,0.0,16,POINT (131.1604381990902 -12.21085263029459),131.16043819909015,-12.210852630294585,0.15807037058720216,0.0,0.14299332697807435,9.0,0.0,9.0,6.75,0.0,6.75
LC1_2_2,2001-01-09,GDA94,20010109,0.75,3,dead,0,4.0,17,POINT (131.1604381990902 -12.21085263029459),131.16043819909015,-12.210852630294585,0.0,0.22209883398112162,0.021184196589344347,0.0,1.3333333333333333,1.3333333333333333,0.0,1.7777777777777777,1.7777777777777777
LC1_2_2,2001-01-09,GDA94,20010109,0.75,3,Eucalyptus sp.,6,0.0,18,POINT (131.1604381990902 -12.21085263029459),131.16043819909015,-12.210852630294585,0.03512674901937826,0.0,0.03177629488401652,2.0,0.0,2.0,1.5,0.0,1.5
LC1_2_2,2001-01-09,GDA94,20010109,0.75,3,Acacia auriculiformis,1,0.0,19,POINT (131.1604381990902 -12.21085263029459),131.16043819909015,-12.210852630294585,0.0058544581698963755,0.0,0.005296049147336087,0.3333333333333333,0.0,0.3333333333333333,0.25,0.0,0.25
LC1_2_2,2001-01-09,GDA94,20010109,0.75,3,Syzygium sp.,3,0.0,20,POINT (131.1604381990902 -12.21085263029459),131.16043819909015,-12.210852630294585,0.01756337450968913,0.0,0.01588814744200826,1.0,0.0,1.0,0.75,0.0,0.75
LC1_2_2,2001-01-09,GDA94,20010109,0.75,3,Canarium sp.,1,0.0,21,POINT (131.1604381990902 -12.21085263029459),131.16043819909015,-12.210852630294585,0.0058544581698963755,0.0,0.005296049147336087,0.3333333333333333,0.0,0.3333333333333333,0.25,0.0,0.25
LC1_2_2,2001-01-09,GDA94,20010109,0.75,3,E. tetrodonta,2,0.0,22,POINT (131.1604381990902 -12.21085263029459),131.16043819909015,-12.210852630294585,0.011708916339792751,0.0,0.010592098294672173,0.6666666666666666,0.0,0.6666666666666666,0.5,0.0,0.5
LC1_2_2,2001-01-09,GDA94,20010109,0.75,3,Alphitonia excelsa,4,0.0,23,POINT (131.1604381990902 -12.21085263029459),131.16043819909015,-12.210852630294585,0.023417832679585502,0.0,0.021184196589344347,1.3333333333333333,0.0,1.3333333333333333,1.0,0.0,1.0
FD1_1_1,2001-01-09,GDA94,20010109,1.0,3,Acacia auriculiformis,15,0.0,24,POINT (131.3149210270065 -12.56147207191574),131.31492102700648,-12.561472071915743,0.08781687254844564,0.0,0.07944073721004132,5.0,0.0,5.0,5.0,0.0,5.0
FD1_1_1,2001-01-09,GDA94,20010109,1.0,3,Ixora timorensis,18,0.0,25,POINT (131.3149210270065 -12.56147207191574),131.31492102700648,-12.561472071915743,0.10538024705813477,0.0,0.09532888465204957,6.0,0.0,6.0,6.0,0.0,6.0
FD1_1_1,2001-01-09,GDA94,20010109,1.0,3,Ficus sp.,1,0.0,26,POINT (131.3149210270065 -12.56147207191574),131.31492102700648,-12.561472071915743,0.0058544581698963755,0.0,0.005296049147336087,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
