species,alive,dead,alv_prop,ded_prop,total_prop,site,uid,date,factor,loc_count,geometry,lon_gda94,lat_gda94
Buchorvet,11.0,0.0,4.545454545454546,0.0,4.365079365079365,lit01,1,20130426,0.5,7,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116
C. armstrongii,3.0,0.0,1.2396694214876034,0.0,1.1904761904761905,lit01,1,20130426,0.5,7,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116
C. fraseri,2.0,0.0,0.8264462809917356,0.0,0.7936507936507936,lit01,1,20130426,0.5,7,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116
Corymbia sp.,1.0,0.0,0.4132231404958678,0.0,0.3968253968253968,lit01,1,20130426,0.5,7,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116
E. chlorostachys,38.0,2.0,15.702479338842975,20.0,15.873015873015872,lit01,1,20130426,0.5,7,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116
E. miniata,18.0,0.0,7.43801652892562,0.0,7.142857142857142,lit01,1,20130426,0.5,7,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116
E. tetrodonta,98.0,4.0,40.49586776859504,40.0,40.476190476190474,lit01,1,20130426,0.5,7,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116
F. achleata,3.0,0.0,1.2396694214876034,0.0,1.1904761904761905,lit01,1,20130426,0.5,7,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116
L. humilis,5.0,0.0,2.066115702479339,0.0,1.984126984126984,lit01,1,20130426,0.5,7,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116
P. careya,6.0,0.0,2.479338842975207,0.0,2.380952380952381,lit01,1,20130426,0.5,7,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116
