uid,site,date,lon_gda94,lat_gda94,bio_l_kg1ha,bio_t_kg1ha,bio_b_kg1ha,bio_w_kg1ha,bio_br_kg1ha,bio_s_kg1ha,bio_r_kg1ha,bio_agb_kg1ha,c_l_kg1ha,c_t_kg1ha,c_b_kg1ha,c_w_kg1ha,c_br_kg1ha,c_s_kg1ha,c_r_kg1ha,c_agb_kg1ha
1,NTAARP0001,20160602,132.2701,-13.55729,1114.6989999999983,1209.6575555555537,3360.251222222217,18298.821333333297,7796.6077777777655,21659.07255555552,5167.006444444436,30472.446666666616,2371.6999999999966,2468.6888888888852,6857.655555555545,37344.53333333326,15911.44444444442,44202.18888888881,10544.911111111094,62188.66666666656
2,NTAARP0002,20160602,132.2944,-13.54561,885.5236055555558,961.609483333334,3075.56693888889,13170.989572222228,7308.612694444447,16246.55651111112,4547.172233333335,24414.13022222223,1884.0927777777786,1962.4683333333346,6276.667222222225,26879.57055555557,14915.536111111116,33156.237777777795,9279.943333333336,49824.755555555574
3,NTAARP0003,20160603,132.4571,-13.51697,628.2157083333333,682.3699166666667,2271.717583333333,9263.866499999998,5445.672166666666,11535.584083333331,3337.4553333333333,17598.352041666665,1336.6291666666666,1392.5916666666667,4636.158333333333,18905.85,11113.616666666667,23542.00833333333,6811.133333333333,35915.004166666666
4,NTADAC0001,20130528,130.7779,-13.15835,763.1024444444444,828.4484444444442,2643.495555555555,13452.087055555552,6053.6151666666665,16095.582611111107,4274.3625555555545,22881.07266666666,1623.622222222222,1690.7111111111108,5394.888888888888,27453.23888888888,12354.316666666666,32848.12777777777,8723.188888888886,46696.06666666665
5,NTADAC0002,20160506,132.3403,-12.73922,662.2070222222223,718.9138444444445,2368.019188888889,12460.882933333336,5334.929444444444,14828.902122222224,3976.9129555555564,20805.217611111115,1408.9511111111115,1467.1711111111113,4832.692222222223,25430.37333333334,10887.611111111111,30263.06555555556,8116.148888888891,42459.62777777779
6,NTAGFU0001,20120412,137.0693,-18.90551,51.905625,56.441875,220.530625,717.451875,544.053125,937.9825000000001,315.37624999999997,1536.1499999999999,110.4375,115.18750000000001,450.0625,1464.1875,1110.3125,1914.2500000000002,643.625,3135.0
7,NTAGFU0002,20120413,137.0522,-18.91812,39.339,42.777,167.139,543.753,412.335,710.8919999999999,239.022,1164.24,83.7,87.3,341.1,1109.7,841.5,1450.8,487.8,2376.0
8,NTAGFU0003,20120414,137.1244,-18.63437,160.0271666666666,174.01261111111106,679.9049444444443,2211.933499999999,1677.338055555555,2891.8384444444437,972.3178888888885,4736.0133333333315,340.48333333333323,355.1277777777777,1387.5611111111107,4514.149999999999,3423.138888888888,5901.71111111111,1984.3222222222216,9665.33333333333
9,NTAGFU0004,20120415,137.1235,-18.62406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,NTAGFU0005,20120416,137.1211,-18.65319,52.342725,56.917175,222.38772500000002,723.493575,548.6346249999999,945.8812999999999,318.03204999999997,1549.086,111.3675,116.1575,453.8525,1476.5175,1119.6625,1930.37,649.045,3161.4
11,NTAGFU0006,20120418,136.8471,-18.77869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,NTAGFU0007,20120419,136.8262,-18.77691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,NTAGFU0008,20120420,136.8653,-18.78608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
