species,alive,dead,alv_prop,ded_prop,total_prop,site,uid,date,factor,loc_count,geometry,lon_gda94,lat_gda94,count,avg_alive,avg_dead,avg_total,cor_av_liv,cor_av_ded,cor_av_tot
Buchorvet,11.0,0.0,4.545454545454546,0.0,4.365079365079365,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0
C. armstrongii,3.0,0.0,1.2396694214876034,0.0,1.1904761904761905,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0
C. fraseri,2.0,0.0,0.8264462809917356,0.0,0.7936507936507936,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0
Corymbia sp.,1.0,0.0,0.4132231404958678,0.0,0.3968253968253968,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0
E. chlorostachys,38.0,2.0,15.702479338842975,20.0,15.873015873015872,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0
E. miniata,18.0,0.0,7.43801652892562,0.0,7.142857142857142,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0
E. tetrodonta,98.0,4.0,40.49586776859504,40.0,40.476190476190474,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0
F. achleata,3.0,0.0,1.2396694214876034,0.0,1.1904761904761905,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0
L. humilis,5.0,0.0,2.066115702479339,0.0,1.984126984126984,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0
P. careya,6.0,0.0,2.479338842975207,0.0,2.380952380952381,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0
P. pubescens,1.0,0.0,0.4132231404958678,0.0,0.3968253968253968,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0
P. spiralis,48.0,4.0,19.834710743801654,40.0,20.634920634920633,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0
Syzygium suborbiculare,8.0,0.0,3.3057851239669422,0.0,3.1746031746031744,lit01,1,20130426,0.5,7.0,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0
Eucalyptus alba,12.0,0.0,8.333333333333332,0.0,7.142857142857142,girra02,6,20120605,0.1,7.0,POINT (131.1320003975128 -12.52340665621054),131.1320003975128,-12.523406656210543,7.0,20.714285714285715,3.4285714285714284,24.142857142857142,2.0714285714285716,0.34285714285714286,2.4142857142857146
Lophostemon lactifluus,20.0,4.0,13.88888888888889,16.666666666666664,14.285714285714285,girra02,6,20120605,0.1,7.0,POINT (131.1320003975128 -12.52340665621054),131.1320003975128,-12.523406656210543,7.0,20.714285714285715,3.4285714285714284,24.142857142857142,2.0714285714285716,0.34285714285714286,2.4142857142857146
Melaleuca nervoa,93.0,19.0,64.58333333333334,79.16666666666666,66.66666666666666,girra02,6,20120605,0.1,7.0,POINT (131.1320003975128 -12.52340665621054),131.1320003975128,-12.523406656210543,7.0,20.714285714285715,3.4285714285714284,24.142857142857142,2.0714285714285716,0.34285714285714286,2.4142857142857146
P. spiralis,19.0,1.0,13.194444444444445,4.166666666666666,11.904761904761903,girra02,6,20120605,0.1,7.0,POINT (131.1320003975128 -12.52340665621054),131.1320003975128,-12.523406656210543,7.0,20.714285714285715,3.4285714285714284,24.142857142857142,2.0714285714285716,0.34285714285714286,2.4142857142857146
Acacia latesens,6.0,2.0,4.411764705882353,15.384615384615385,5.369127516778524,umb07,24,20130603,0.25,7.0,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931,7.0,19.428571428571427,1.8571428571428572,21.285714285714285,4.857142857142857,0.4642857142857143,5.321428571428571
Buchanania obovata,2.0,0.0,1.4705882352941175,0.0,1.342281879194631,umb07,24,20130603,0.25,7.0,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931,7.0,19.428571428571427,1.8571428571428572,21.285714285714285,4.857142857142857,0.4642857142857143,5.321428571428571
Corymbia ferruginea,4.0,1.0,2.941176470588235,7.6923076923076925,3.3557046979865772,umb07,24,20130603,0.25,7.0,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931,7.0,19.428571428571427,1.8571428571428572,21.285714285714285,4.857142857142857,0.4642857142857143,5.321428571428571
Corymbia sp.,1.0,0.0,0.7352941176470588,0.0,0.6711409395973155,umb07,24,20130603,0.25,7.0,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931,7.0,19.428571428571427,1.8571428571428572,21.285714285714285,4.857142857142857,0.4642857142857143,5.321428571428571
