uid,site,date_er,am_date,date,datum,factor,count,height_o,height_g,Discription,issues,cent_sp01,cent_l_sp01,cent_d_sp01,cent_sp02,cent_l_sp02,cent_d_sp02,cent_sp03,cent_l_sp03,cent_d_sp03,cent_sp04,cent_l_sp04,cent_d_sp04,cent_sp05,cent_l_sp05,cent_d_sp05,cent_sp06,cent_l_sp06,cent_d_sp06,cent_sp07,cent_l_sp07,cent_d_sp07,cent_sp08,cent_l_sp08,cent_d_sp08,cent_sp09,cent_l_sp09,cent_d_sp09,cent_sp10,cent_l_sp10,cent_d_sp10,cent_sp11,cent_l_sp11,cent_d_sp11,north_sp01,north_l_sp01,north_d_sp01,north_sp02,north_l_sp02,north_d_sp02,north_sp03,north_l_sp03,north_d_sp03,north_sp04,north_l_sp04,north_d_sp04,north_sp05,north_l_sp05,north_d_sp05,north_sp06,north_l_sp06,north_d_sp06,north_sp07,north_l_sp07,north_d_sp07,north_sp08,north_l_sp08,north_d_sp08,north_sp09,north_l_sp09,north_d_sp09,north_sp10,north_l_sp10,north_d_sp10,north_sp11,north_l_sp11,north_d_sp11,south_sp01,south_l_sp01,south_d_sp01,south_sp02,south_l_sp02,south_d_sp02,south_sp03,south_l_sp03,south_d_sp03,south_sp04,south_l_sp04,south_d_sp04,south_sp05,south_l_sp05,south_d_sp05,south_sp06,south_l_sp06,south_d_sp06,south_sp07,south_l_sp07,south_d_sp07,south_sp08,south_l_sp08,south_d_sp08,south_sp09,south_l_sp09,south_d_sp09,south_sp10,south_l_sp10,south_d_sp10,south_sp11,south_l_sp11,south_d_sp11,sw_sp01,sw_l_sp01,sw_d_sp01,sw_sp02,sw_l_sp02,sw_d_sp02,sw_sp03,sw_l_sp03,sw_d_sp03,sw_sp04,sw_l_sp04,sw_d_sp04,sw_sp05,sw_l_sp05,sw_d_sp05,sw_sp06,sw_l_sp06,sw_d_sp06,sw_sp07,sw_l_sp07,sw_d_sp07,sw_sp08,sw_l_sp08,sw_d_sp08,sw_sp09,sw_l_sp09,sw_d_sp09,sw_sp10,sw_l_sp10,sw_d_sp10,sw_sp11,sw_l_sp11,sw_d_sp11,ne_sp01,ne_l_sp01,ne_d_sp01,ne_sp02,ne_l_sp02,ne_d_sp02,ne_sp03,ne_l_sp03,ne_d_sp03,ne_sp04,ne_l_sp04,ne_d_sp04,ne_sp05,ne_l_sp05,ne_d_sp05,ne_sp06,ne_l_sp06,ne_d_sp06,ne_sp07,ne_l_sp07,ne_d_sp07,ne_sp08,ne_l_sp08,ne_d_sp08,ne_sp09,ne_l_sp09,ne_d_sp09,ne_sp10,ne_l_sp10,ne_d_sp10,ne_sp11,ne_l_sp11,ne_d_sp11,se_sp01,se_l_sp01,se_d_sp01,se_sp02,se_l_sp02,se_d_sp02,se_sp03,se_l_sp03,se_d_sp03,se_sp04,se_l_sp04,se_d_sp04,se_sp05,se_l_sp05,se_d_sp05,se_sp06,se_l_sp06,se_d_sp06,se_sp07,se_l_sp07,se_d_sp07,se_sp08,se_l_sp08,se_d_sp08,se_sp09,se_l_sp09,se_d_sp09,se_sp10,se_l_sp10,se_d_sp10,se_sp11,se_l_sp11,se_d_sp11,nw_sp01,nw_l_sp01,nw_d_sp01,nw_sp02,nw_l_sp02,nw_d_sp02,nw_sp03,nw_l_sp03,nw_d_sp03,nw_sp04,nw_l_sp04,nw_d_sp04,nw_sp05,nw_l_sp05,nw_d_sp05,nw_sp06,nw_l_sp06,nw_d_sp06,nw_sp07,nw_l_sp07,nw_d_sp07,nw_sp08,nw_l_sp08,nw_d_sp08,nw_sp09,nw_l_sp09,nw_d_sp09,nw_sp10,nw_l_sp10,nw_d_sp10,nw_sp11,nw_l_sp11,nw_d_sp11,geometry,lon_gda94,lat_gda94
1,lit01,26/04/2013,20130426,2013-04-26,GDA94,0.5,7,,,,,E. tetrodonta,15.0,0.0,E. chlorostachys,3.0,0.0,P. spiralis,2.0,0.0,C. armstrongii,1.0,0.0,Buchorvet,3.0,0.0,,,,,,,,,,,,,,,,,,,E. tetrodonta,10.0,0.0,E. miniata,1.0,0.0,L. humilis,3.0,0.0,E. chlorostachys,2.0,0.0,P. spiralis,2.0,0.0,P. careya,2.0,0.0,Buchorvet,2.0,0.0,Corymbia sp.,1.0,0.0,,,,,,,,,,E. tetrodonta,11.0,0.0,E. miniata,7.0,0.0,E. chlorostachys,8.0,0.0,P. spiralis,7.0,0.0,P. careya,2.0,0.0,Buchorvet,1.0,0.0,P. pubescens,1.0,0.0,,,,,,,,,,,,,E. tetrodonta,8.0,0.0,E. miniata,6.0,0.0,E. chlorostachys,10.0,0.0,Buchorvet,1.0,0.0,P. careya,1.0,0.0,P. spiralis,9.0,2.0,C. armstrongii,1.0,0.0,F. achleata,2.0,0.0,C. fraseri,2.0,0.0,,,,,,,E. tetrodonta,15.0,2.0,E. chlorostachys,14.0,2.0,Buchorvet,4.0,0.0,P. spiralis,7.0,0.0,L. humilis,2.0,0.0,,,,,,,,,,,,,,,,,,,E. tetrodonta,14.0,2.0,P. spiralis,15.0,1.0,Syzygium suborbiculare,8.0,0.0,P. careya,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,25.0,0.0,E. miniata,4.0,0.0,P. spiralis,6.0,1.0,E. chlorostachys,1.0,0.0,F. achleata,1.0,0.0,C. armstrongii,1.0,0.0,,,,,,,,,,,,,,,,POINT (131.0619172006217 -12.54791228210612),131.06191720062165,-12.547912282106116
6,girra02,2012-05-06 00:00:00,20120605,2012-06-05,GDA94,0.1,7,,,,,Melaleuca nervoa,23.0,0.0,Lophostemon lactifluus,1.0,0.0,P. spiralis,2.0,0.0,Eucalyptus alba,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,Melaleuca nervoa,20.0,5.0,P. spiralis,1.0,1.0,Eucalyptus alba,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Melaleuca nervoa,3.0,8.0,Lophostemon lactifluus,4.0,2.0,P. spiralis,2.0,0.0,Eucalyptus alba,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,Melaleuca nervoa,22.0,0.0,P. spiralis,2.0,0.0,Eucalyptus alba,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Melaleuca nervoa,4.0,2.0,Lophostemon lactifluus,4.0,1.0,P. spiralis,8.0,0.0,Melaleuca nervoa,3.0,,,,,,,,,,,,,,,,,,,,,,,Melaleuca nervoa,10.0,4.0,P. spiralis,2.0,0.0,Eucalyptus alba,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Melaleuca nervoa,8.0,0.0,Lophostemon lactifluus,11.0,0.0,P. spiralis,2.0,1.0,Eucalyptus alba,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,POINT (131.1320003975128 -12.52340665621054),131.1320003975128,-12.523406656210543
24,umb07,2013-03-06 00:00:00,20130603,2013-06-03,GDA94,0.25,7,,,,,E. miniata,11.0,0.0,E. tetrodonta,6.0,0.0,Acacia latesens,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,E. miniata,5.0,1.0,E. tetrodonta,3.0,0.0,E. chlorostachys,2.0,0.0,Buchanania obovata,2.0,0.0,Exacarpos latafolia,5.0,0.0,Denhmai obscura,1.0,0.0,Owinea sp.,1.0,0.0,Corymbia ferruginea,1.0,0.0,,,,,,,,,,E. miniata,10.0,0.0,E. tetrodonta,11.0,1.0,Acacia latesens,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,E. miniata,12.0,0.0,E. tetrodonta,5.0,0.0,E. chlorostachys,0.0,1.0,Acacia latesens,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,E. miniata,10.0,1.0,E. tetrodonta,5.0,1.0,E. chlorostachys,0.0,1.0,Acacia latesens,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,E. miniata,17.0,2.0,E. tetrodonta,4.0,0.0,Terminalia carpentariae,1.0,0.0,Corymbia sp.,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,E. miniata,10.0,2.0,E. tetrodonta,3.0,0.0,Acacia latesens,0.0,2.0,Corymbia ferruginea,3.0,1.0,Eucalyptus sp.,1.0,0.0,,,,,,,,,,,,,,,,,,,POINT (131.6744999996898 -13.96230000075931),131.67449999968983,-13.96230000075931
105,jdr01,2012-05-22 00:00:00,20120522,2012-05-22,GDA94,0.75,7,,,,,E. miniata,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. miniata,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. miniata,22.0,0.0,Corymbia sp.,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. miniata,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. miniata,18.0,0.0,Corymbia sp.,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. miniata,13.0,1.0,Corymbia sp.,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. miniata,19.0,0.0,Corymbia sp.,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (131.5996997759004 -13.88378624750307),131.59969977590038,-13.883786247503068
106,jdr02,2012-05-23 00:00:00,20120523,2012-05-23,GDA94,0.5,7,,,,,E. tetrodonta,19.0,2.0,Corymbia sp.,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,16.0,0.0,Corymbia sp.,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,22.0,1.0,Corymbia sp.,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,23.0,2.0,Corymbia sp.,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,26.0,1.0,Corymbia sp.,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,24.0,1.0,Corymbia sp.,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. tetrodonta,20.0,1.0,Corymbia sp.,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (131.600245706593 -13.85726623878167),131.60024570659297,-13.857266238781667
107,jdr03,2012-05-23 00:00:00,20120523,2012-05-23,GDA94,0.25,7,,,,,Syzygium sp.,37.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syzygium sp.,27.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syzygium sp.,36.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syzygium sp.,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syzygium sp.,40.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syzygium sp.,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syzygium sp.,39.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (131.5679093748641 -13.84688438272733),131.5679093748641,-13.846884382727328
108,jdr04,2012-05-23 00:00:00,20120523,2012-05-23,GDA94,0.25,7,,,,,species 1,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,species 1,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,species 1,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,species 1,6.0,0.0,species 2,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,species 1,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,species 1,19.0,0.0,species 2,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,species 1,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (131.5977290340626 -13.97466897171563),131.5977290340626,-13.974668971715626
109,jdr05,2012-05-24 00:00:00,20120524,2012-05-24,GDA94,0.0,7,,,pasture (cleared),ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (131.625269939191 -14.1112669427294),131.62526993919104,-14.111266942729396
110,auv01,2012-10-09 00:00:00,20121009,2012-10-09,GDA94,0.1,7,9.0,0.35,,,Lysiphyllum cunninghamii,30.0,2.0,Eucalyptus microtheca,1.0,0.0,Atalaya hemiglauca,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Lysiphyllum cunninghamii,19.0,0.0,Eucalyptus microtheca,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lysiphyllum cunninghamii,15.0,1.0,Eucalyptus microtheca,3.0,0.0,Atalaya hemiglauca,2.0,0.0,Terminalia volucris,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,Lysiphyllum cunninghamii,30.0,0.0,Eucalyptus microtheca,6.0,0.0,Atalaya hemiglauca,1.0,0.0,Terminalia volucris,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,Lysiphyllum cunninghamii,25.0,1.0,Eucalyptus microtheca,5.0,0.0,Atalaya hemiglauca,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,Lysiphyllum cunninghamii,17.0,0.0,Terminalia volucris,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lysiphyllum cunninghamii,25.0,0.0,Eucalyptus microtheca,3.0,0.0,Atalaya hemiglauca,2.0,0.0,Terminalia volucris,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,POINT (130.0932646273001 -15.58078095588989),130.09326462730013,-15.580780955889887
111,auv02,2012-10-10 00:00:00,20121010,2012-10-10,GDA94,0.1,7,11.0,0.5,,,Eucalyptus pruinosa,10.0,0.0,Brachychiton diversifolius,1.0,0.0,Terminalia arostrata,2.0,0.0,Eucalyptus terminalis,2.0,0.0,Corymbia confertiflora,3.0,1.0,Melaleuca minutifolia,1.0,0.0,,,,,,,,,,,,,,,,Eucalyptus pruinosa,16.0,1.0,Brachychiton diversifolius,4.0,0.0,Eucalyptus terminalis,2.0,0.0,Corymbia confertiflora,0.0,1.0,Lysiphyllum cunninghamii,1.0,0.0,,,,,,,,,,,,,,,,,,,Eucalyptus pruinosa,10.0,0.0,Brachychiton diversifolius,1.0,0.0,Terminalia arostrata,2.0,0.0,Corymbia confertiflora,6.0,0.0,Lysiphyllum cunninghamii,1.0,0.0,,,,,,,,,,,,,,,,,,,Eucalyptus pruinosa,14.0,1.0,Terminalia arostrata,2.0,0.0,Eucalyptus terminalis,2.0,0.0,Corymbia confertiflora,1.0,0.0,Lysiphyllum cunninghamii,3.0,0.0,Acacia sp.,1.0,0.0,,,,,,,,,,,,,,,,Eucalyptus pruinosa,18.0,3.0,Brachychiton diversifolius,1.0,0.0,Eucalyptus terminalis,1.0,0.0,Corymbia confertiflora,1.0,0.0,Lysiphyllum cunninghamii,2.0,0.0,Melaleuca minutifolia,10.0,0.0,,,,,,,,,,,,,,,,Eucalyptus pruinosa,11.0,0.0,Brachychiton diversifolius,3.0,0.0,Terminalia arostrata,2.0,0.0,Corymbia confertiflora,5.0,0.0,Melaleuca minutifolia,3.0,0.0,,,,,,,,,,,,,,,,,,,Eucalyptus pruinosa,14.0,0.0,Eucalyptus terminalis,3.0,0.0,Corymbia confertiflora,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,POINT (130.0300394091591 -15.67690430418792),130.0300394091591,-15.67690430418792
