uid,site,site_name,date,lon_gda94,lat_gda94,bio_l_kg1ha,bio_t_kg1ha,bio_b_kg1ha,bio_w_kg1ha,bio_br_kg1ha,bio_s_kg1ha,bio_r_kg1ha,bio_agb_kg1ha,c_l_kg1ha,c_t_kg1ha,c_b_kg1ha,c_w_kg1ha,c_br_kg1ha,c_s_kg1ha,c_r_kg1ha,c_agb_kg1ha,geometry
1,agb02_2012,agb02,20120417,131.0051903,-12.64729111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (131.0051902997444 -12.64729111005121)
2,amg01_2012,amg01,20120619,134.0516864,-16.38095845,413.634375,448.5528324,1310.224441,3748.311503,2886.444322,5058.535944,1811.635,8376.216104,880.0731383,915.4139438,2673.927432,7649.615312,5890.702698,10323.54274,3697.214286,17094.31858,POINT (134.0516864045037 -16.38095845455373)
3,amg03_2012,amg03,20120620,134.0316263,-16.77899135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (134.0316263326351 -16.77899134702427)
4,amg05_2012,amg05,20120621,134.0906451,-16.73124617,833.6121429,906.465,3541.755,11522.385,8737.575,15064.14,5064.99,24670.8,1773.642857,1849.928571,7228.071429,23515.07143,17831.78571,30743.14286,10336.71429,50348.57143,POINT (134.090645066343 -16.73124616889728)
5,amg06_2012,amg06,20120621,134.0878568,-16.69421983,104.2795714,113.393,443.051,1441.377,1093.015,1884.428,633.598,3086.16,221.8714286,231.4142857,904.1857143,2941.585714,2230.642857,3845.771429,1293.057143,6298.285714,POINT (134.0878567879695 -16.69421982697165)
6,amg08_2012,amg08,20120622,134.0887001,-16.56930581,997.5246429,1084.7025,4238.1675,13788.0225,10455.6375,18026.19,6060.915,29521.8,2122.392857,2213.678571,8649.321429,28138.82143,21338.03571,36788.14286,12369.21429,60248.57143,POINT (134.0887000869861 -16.56930581154833)
7,amg10_2012,amg10,20120622,134.1876888,-16.41557847,110.5171429,120.036,418.796,1304.1,993.916,1722.896,591.864,2832.032,235.1428571,244.9714286,854.6857143,2661.428571,2028.4,3516.114286,1207.885714,5779.657143,POINT (134.1876887644216 -16.41557846738749)
8,ant01_2012,ant01,20120623,135.2932497,-17.97879472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (135.2932496935822 -17.97879472220046)
9,ant02_2012,ant02,20120624,135.0409542,-18.22448985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (135.0409541984403 -18.2244898536756)
10,ant03_2012,ant03,20120624,135.0580126,-18.24022134,22.47942857,24.444,95.508,310.716,235.62,406.224,136.584,665.28,47.82857143,49.88571429,194.9142857,634.1142857,480.8571429,829.0285714,278.7428571,1357.714286,POINT (135.058012624136 -18.24022133701148)
11,ant04_2012,ant04,20120624,135.0843424,-18.25095821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (135.0843424488423 -18.25095821391505)
12,ant06_2012,ant06,20120625,135.1525222,-18.26630839,202.9392857,220.675,862.225,2805.075,2127.125,3667.3,1233.05,6006,431.7857143,450.3571429,1759.642857,5724.642857,4341.071429,7484.285714,2516.428571,12257.14286,POINT (135.152522154062 -18.26630838901649)
13,ant07_2012,ant07,20120626,135.2038402,-18.24579777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (135.2038401986589 -18.24579776721202)
14,ant09_2012,ant09,20120626,135.2698068,-18.32963671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (135.2698067994026 -18.32963670886927)
15,antgr01_2012,antgr01,20120626,135.1990606,-18.24347994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (135.199060588502 -18.24347993503604)
16,auv01_2012,auv01,20121009,130.0932646,-15.58078096,144.243,156.849,612.843,1993.761,1511.895,2606.604,876.414,4268.88,306.9,320.1,1250.7,4068.9,3085.5,5319.6,1788.6,8712,POINT (130.0932646273001 -15.58078095588989)
17,auv02_2012,auv02,20121010,130.0300394,-15.6769043,104.2795714,113.393,443.051,1441.377,1093.015,1884.428,633.598,3086.16,221.8714286,231.4142857,904.1857143,2941.585714,2230.642857,3845.771429,1293.057143,6298.285714,POINT (130.0300394091591 -15.67690430418792)
18,auv03_2012,auv03,20121010,129.9789379,-15.71043146,45.58328571,49.567,193.669,630.063,477.785,823.732,276.962,1349.04,96.98571429,101.1571429,395.2428571,1285.842857,975.0714286,1681.085714,565.2285714,2753.142857,POINT (129.9789378709744 -15.71043146325299)
19,auv05_2012,auv05,20121011,129.8277172,-15.86184945,2.497714286,2.716,10.612,34.524,26.18,45.136,15.176,73.92,5.314285714,5.542857143,21.65714286,70.45714286,53.42857143,92.11428571,30.97142857,150.8571429,POINT (129.8277172202255 -15.86184945421661)
20,auv06_2012,auv06,20121011,129.6850104,-16.00775489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (129.6850103785634 -16.00775489353334)
21,auv07_2012,auv07,20121011,129.6903851,-16.07036556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (129.6903850656724 -16.07036555584022)
22,auv08_2012,auv08,20121011,129.6246403,-16.19847222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (129.6246402887967 -16.19847222081317)
23,auv09_2012,auv09,20121011,129.648024,-16.16263185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (129.6480239732445 -16.16263185167449)
24,barkely01_2011,barkely01,20111025,135.0406947,-18.0017624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (135.0406946519191 -18.00176240037953)
25,barkely02_2011,barkely02,20111026,135.2597684,-18.05696261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (135.2597684000571 -18.05696261000875)
26,barkely03_2011,barkely03,20111026,135.2883748,-18.02450995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (135.2883748312124 -18.02450995279888)
27,barkely04_2011,barkely04,20111026,135.2256122,-17.98478739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (135.2256122359811 -17.98478739183941)
28,barkely05_2011,barkely05,20111027,135.0871522,-17.98387769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (135.0871521881651 -17.98387768614968)
29,barkely06_2011,barkely06,20111027,135.2574462,-17.98702546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (135.2574462321737 -17.98702546288634)
30,barkely07_2011,barkely07,20111027,135.6093095,-18.08531565,64.00392857,69.5975,271.9325,884.6775,670.8625,1156.61,388.885,1894.2,136.1785714,142.0357143,554.9642857,1805.464286,1369.107143,2360.428571,793.6428571,3865.714286,POINT (135.609309515743 -18.08531564548007)
31,buff01_2021,buff01,20120713,130.8985928,-12.33618713,343.6371429,373.0825,1092.525,5997.4075,2593.8675,7089.9325,1688.33,9995.51,731.1428571,761.3928571,2229.642857,12239.60714,5293.607143,14469.25,3445.571429,20399,POINT (130.8985928144694 -12.33618713146298)
32,centa13_2013,centa13,20130602,133.355438,-14.37659044,200.7907143,217.91,728.42,4167.7475,1862.4725,4896.675,1147.685,6946.7825,427.2142857,444.7142857,1486.571429,8505.607143,3800.964286,9993.214286,2342.214286,14177.10714,POINT (133.3554380134159 -14.37659043909748)
33,centa14_2012,centa14,20120602,133.2920027,-14.40307483,271.9789286,295.3125,906.675,4344.1125,2151.5025,5250.7875,1365.84,7658.5425,578.6785714,602.6785714,1850.357143,8865.535714,4390.821429,10715.89286,2787.428571,15629.67857,POINT (133.292002658622 -14.40307482551382)
34,el01_2013,el01,20130413,133.5249501,-17.54669977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (133.5249501261277 -17.54669977021949)
35,el02_2013,el02,20130414,133.5287909,-17.52949263,82.42457143,89.628,350.196,1139.292,863.94,1489.488,500.808,2439.36,175.3714286,182.9142857,714.6857143,2325.085714,1763.142857,3039.771429,1022.057143,4978.285714,POINT (133.528790900227 -17.52949263005511)
36,ep01_2012,ep01,20120713,130.8216493,-12.41110272,633.795,689.185,2692.795,8760.465,6643.175,11453.26,3850.91,18757.2,1348.5,1406.5,5495.5,17878.5,13557.5,23374,7859,38280,POINT (130.8216492912273 -12.41110272152457)
37,girra01_2012,girra01,20120605,131.0780219,-12.51412294,574.7708333,623.77,2074.415,10860.52333,4491.34,12935.22417,3585.33,17994.76,1222.916667,1273,4233.5,22164.33333,9166,26398.41667,7317,36724,POINT (131.07802192217 -12.51412293605501)
38,girra02_2012,girra02,20120605,131.1320004,-12.52340666,105.5284286,114.751,448.357,1458.639,1106.105,1906.996,641.186,3123.12,224.5285714,234.1857143,915.0142857,2976.814286,2257.357143,3891.828571,1308.542857,6373.714286,POINT (131.1320003975128 -12.52340665621054)
39,gulf10_2013,gulf10,20130716,136.2793503,-16.02554408,213.1114286,231.245,773.64,4877.4425,1620.7275,5651.0825,1470.175,7478.59,453.4285714,471.9285714,1578.857143,9953.964286,3307.607143,11532.82143,3000.357143,15262.42857,POINT (136.2793503004659 -16.02554408027193)
40,gulf11_2013,gulf11,20130716,136.5990052,-16.08906705,368.0771429,399.385,1156.8375,6677.2475,2588.1975,7834.085,1915.97,10763.3225,783.1428571,815.0714286,2360.892857,13627.03571,5282.035714,15987.92857,3910.142857,21965.96429,POINT (136.5990051518182 -16.08906704664027)
41,gulf12_2013,gulf12,20130716,136.5560994,-16.12624416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (136.5560993997662 -16.12624416006253)
42,hsf01_2012,hsf01,20120710,131.0313293,-12.46929018,864.1957143,939.68,3670.415,12087.775,9042.495,15758.225,5273.66,25701.69,1838.714286,1917.714286,7490.642857,24668.92857,18454.07143,32159.64286,10762.57143,52452.42857,POINT (131.0313293128634 -12.46929017974765)
43,hsf02_2012,hsf02,20120710,131.046194,-12.47308224,899.8485714,978.355,3741.675,12764.08,9202.9,16505.755,5387.48,26636.295,1914.571429,1996.642857,7636.071429,26049.14286,18781.42857,33685.21429,10994.85714,54359.78571,POINT (131.0461940004585 -12.47308223995817)
44,hshr01_2012,hshr01,20120606,131.0620727,-12.41656582,1265.642857,1375.5,5108.67,16388.33,12383.21,21497,7284.48,35199.71,2692.857143,2807.142857,10425.85714,33445.57143,25271.85714,43871.42857,14866.28571,71836.14286,POINT (131.0620726815403 -12.41656582387474)
45,jdr01_2012,jdr01,20120522,131.5996998,-13.88378625,458.4010714,497.3325,2054.4825,15090.6,3846.15,17145.0825,4666.62,21469.14,975.3214286,1014.964286,4192.821429,30797.14286,7849.285714,34989.96429,9523.714286,43814.57143,POINT (131.5996997759004 -13.88378624750307)
46,jdr02_2012,jdr02,20120523,131.6002457,-13.85726624,778.2528571,844.9,2442.86,13762.84,5792.92,16205.7,3794,22699.39,1655.857143,1724.285714,4985.428571,28087.42857,11822.28571,33072.85714,7742.857143,46325.28571,POINT (131.600245706593 -13.85726623878167)
47,jdr03_2012,jdr03,20120523,131.5679094,-13.84688438,377.7792857,410.795,1605.065,5221.755,3959.725,6826.82,2295.37,11180.4,803.7857143,838.3571429,3275.642857,10656.64286,8081.071429,13932.28571,4684.428571,22817.14286,POINT (131.5679093748641 -13.84688438272733)
48,jdr04_2012,jdr04,20120523,131.597729,-13.97466897,126.4467857,137.4975,537.2325,1747.7775,1325.3625,2285.01,768.285,3742.2,269.0357143,280.6071429,1096.392857,3566.892857,2704.821429,4663.285714,1567.928571,7637.142857,POINT (131.5977290340626 -13.97466897171562)
49,jdr05_2012,jdr05,20120524,131.6252699,-14.11126694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (131.625269939191 -14.11126694272939)
50,larr15_2013,larr15,20130531,133.1075277,-15.20799421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (133.1075277002234 -15.2079942098457)
51,legu01_2012,legu01,20121005,129.2552691,-15.3826619,74.93142857,81.48,318.36,1035.72,785.4,1354.08,455.28,2217.6,159.4285714,166.2857143,649.7142857,2113.714286,1602.857143,2763.428571,929.1428571,4525.714286,POINT (129.255269100413 -15.38266189591625)
52,legu02_2012,legu02,20121005,129.3018867,-15.16619153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (129.3018866752968 -15.16619152787618)
53,legu03_2012,legu03,20121006,129.4639179,-15.12510596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (129.4639179316347 -15.12510596359055)
54,legu04_2012,legu04,20121007,129.2575228,-15.39669972,137.1527143,148.855,434.938,2072.427,1011.479,2507.365,652.568,3648.393,291.8142857,303.7857143,887.6285714,4229.442857,2064.242857,5117.071429,1331.771429,7445.7,POINT (129.2575227692612 -15.3966997204538)
55,legu05_2012,legu05,20121007,129.2408384,-15.3857157,148.6878571,161.602,615.44,2494.807,1461.397,3110.247,959.882,4723.999,316.3571429,329.8,1256,5091.442857,2982.442857,6347.442857,1958.942857,9640.814286,POINT (129.2408384363864 -15.38571570105419)
56,legu06_2012,legu06,20121007,129.1757727,-15.32569977,260.6989286,283.4825,1107.6275,3603.4425,2732.5375,4711.07,1583.995,7715.4,554.6785714,578.5357143,2260.464286,7353.964286,5576.607143,9614.428571,3232.642857,15745.71429,POINT (129.1757727302824 -15.32569976706283)
57,legu07_2012,legu07,20121008,129.1284811,-15.37987808,266.7417857,289.6775,1087.1525,5974.9375,2377.8825,7062.09,1982.365,9708.965,567.5357143,591.1785714,2218.678571,12193.75,4852.821429,14412.42857,4045.642857,19814.21429,POINT (129.1284810954015 -15.3798780829197)
58,legu08_2012,legu08,20121008,129.1704052,-15.43840763,129.2164286,140.231,469.721,3134.145,990.367,3603.866,906.766,4717.188,274.9285714,286.1857143,958.6142857,6396.214286,2021.157143,7354.828571,1850.542857,9626.914286,POINT (129.1704052370461 -15.43840763238658)
59,lim01_2012,lim01,20120529,135.7442137,-16.31385668,177.1564286,192.521,709.856,2260.125,1718.101,2969.981,1009.204,4872.777,376.9285714,392.9,1448.685714,4612.5,3506.328571,6061.185714,2059.6,9944.442857,POINT (135.7442136556169 -16.31385667595235)
