uid,site,site_name,date,lon_gda94,lat_gda94,bio_l_kg1ha,bio_t_kg1ha,bio_b_kg1ha,bio_w_kg1ha,bio_br_kg1ha,bio_s_kg1ha,bio_r_kg1ha,bio_agb_kg1ha,c_l_kg1ha,c_t_kg1ha,c_b_kg1ha,c_w_kg1ha,c_br_kg1ha,c_s_kg1ha,c_r_kg1ha,c_agb_kg1ha,geometry
1,agb02_2012,agb02,20120417,131.00519029974444,-12.64729111005121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (131.0051902997444 -12.64729111005121)
2,amg01_2012,amg01,20120619,134.05167792472756,-16.38097178688785,413.634375,448.55283244680834,1310.2244414893612,3748.311502659573,2886.444321808512,5058.535944148936,1811.6350000000007,8376.216103723404,880.0731382978723,915.4139437689968,2673.927431610941,7649.61531155015,5890.702697568391,10323.542743161097,3697.214285714287,17094.31857902736,POINT (134.0516779247276 -16.38097178688785)
3,amg03_2012,amg03,20120620,134.03161783233472,-16.77900462426776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (134.0316178323347 -16.77900462426776)
4,amg05_2012,amg05,20120621,134.09063663514416,-16.73125956338392,833.6121428571424,906.4649999999997,3541.7549999999987,11522.384999999998,8737.574999999997,15064.139999999996,5064.989999999998,24670.799999999992,1773.6428571428567,1849.9285714285709,7228.071428571427,23515.071428571428,17831.78571428571,30743.142857142848,10336.714285714283,50348.57142857141,POINT (134.0906366351442 -16.73125956338392)
5,amg06_2012,amg06,20120621,134.08784833411886,-16.694233223705538,104.27957142857142,113.393,443.05099999999993,1441.3770000000002,1093.015,1884.4279999999999,633.5980000000002,3086.1600000000008,221.87142857142857,231.41428571428574,904.1857142857143,2941.585714285715,2230.6428571428573,3845.7714285714287,1293.057142857143,6298.285714285716,POINT (134.0878483341189 -16.69423322370554)
6,amg08_2012,amg08,20120622,134.0886916313465,-16.56931920464764,997.5246428571428,1084.7025,4238.167500000001,13788.0225,10455.6375,18026.19,6060.915,29521.8,2122.3928571428573,2213.678571428572,8649.32142857143,28138.821428571428,21338.035714285714,36788.142857142855,12369.214285714286,60248.57142857143,POINT (134.0886916313465 -16.56931920464764)
7,amg10_2012,amg10,20120622,134.18768033424186,-16.41559201378762,110.51714285714284,120.036,418.796,1304.1,993.9160000000003,1722.896,591.864,2832.032,235.14285714285717,244.97142857142856,854.6857142857143,2661.4285714285706,2028.4000000000005,3516.114285714286,1207.8857142857146,5779.657142857142,POINT (134.1876803342419 -16.41559201378762)
8,ant01_2012,ant01,20120623,135.29324134960294,-17.978808485361704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (135.2932413496029 -17.9788084853617)
9,ant02_2012,ant02,20120624,135.0409458383976,-18.22450361999229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (135.0409458383976 -18.22450361999229)
10,ant03_2012,ant03,20120624,135.05800424006875,-18.24023510938841,22.479428571428574,24.444000000000006,95.508,310.716,235.62,406.2240000000001,136.58400000000003,665.28,47.828571428571436,49.88571428571429,194.91428571428574,634.1142857142858,480.8571428571429,829.0285714285716,278.7428571428572,1357.7142857142858,POINT (135.0580042400688 -18.24023510938841)
11,ant04_2012,ant04,20120624,135.08433404228157,-18.250971978667053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (135.0843340422816 -18.25097197866705)
12,ant06_2012,ant06,20120625,135.15251384766418,-18.266322156185524,202.9392857142857,220.675,862.2250000000001,2805.0750000000007,2127.1250000000005,3667.300000000001,1233.0500000000004,6006.000000000001,431.78571428571433,450.3571428571429,1759.6428571428573,5724.642857142858,4341.071428571428,7484.2857142857165,2516.428571428572,12257.142857142859,POINT (135.1525138476642 -18.26632215618552)
13,ant07_2012,ant07,20120626,135.20383185080917,-18.245811535015992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (135.2038318508092 -18.24581153501599)
14,ant09_2012,ant09,20120626,135.26979845800489,-18.329650472724275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (135.2697984580049 -18.32965047272427)
15,antgr01_2012,antgr01,20120626,135.19905225039196,-18.24349369575805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (135.199052250392 -18.24349369575805)
16,auv01_2012,auv01,20121009,130.09326462730013,-15.580780955889887,144.243,156.84900000000005,612.8430000000002,1993.7610000000006,1511.8950000000007,2606.6040000000007,876.4140000000003,4268.880000000001,306.9000000000001,320.1,1250.7000000000005,4068.900000000001,3085.5000000000014,5319.600000000001,1788.6000000000006,8712.000000000002,POINT (130.0932646273001 -15.58078095588989)
17,auv02_2012,auv02,20121010,130.0300394091591,-15.67690430418792,104.27957142857142,113.393,443.05099999999993,1441.3769999999995,1093.015,1884.428,633.5980000000001,3086.1600000000008,221.87142857142857,231.4142857142857,904.1857142857143,2941.585714285714,2230.6428571428573,3845.7714285714283,1293.0571428571427,6298.285714285716,POINT (130.0300394091591 -15.67690430418792)
18,auv03_2012,auv03,20121010,129.97893787097442,-15.710431463252995,45.58328571428571,49.567,193.669,630.063,477.785,823.7320000000002,276.962,1349.04,96.98571428571428,101.15714285714287,395.24285714285713,1285.8428571428572,975.0714285714287,1681.0857142857144,565.2285714285714,2753.142857142857,POINT (129.9789378709744 -15.71043146325299)
19,auv05_2012,auv05,20121011,129.8277172202255,-15.861849454216607,2.4977142857142853,2.716,10.611999999999998,34.524,26.18,45.136,15.175999999999998,73.92,5.314285714285714,5.542857142857144,21.657142857142855,70.45714285714286,53.42857142857142,92.11428571428571,30.97142857142857,150.85714285714286,POINT (129.8277172202255 -15.86184945421661)
20,auv06_2012,auv06,20121011,129.68501037856342,-16.00775489353334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (129.6850103785634 -16.00775489353334)
21,auv07_2012,auv07,20121011,129.69038506567236,-16.070365555840215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (129.6903850656724 -16.07036555584022)
22,auv08_2012,auv08,20121011,129.62464028879674,-16.198472220813166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (129.6246402887967 -16.19847222081317)
23,auv09_2012,auv09,20121011,129.64802397324448,-16.162631851674487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (129.6480239732445 -16.16263185167449)
24,barkely01_2011,barkely01,20111025,135.0406863322195,-18.001776171675587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (135.0406863322195 -18.00177617167559)
25,barkely02_2011,barkely02,20111026,135.25976004945392,-18.056976375045714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (135.2597600494539 -18.05697637504571)
26,barkely03_2011,barkely03,20111026,135.2883664505653,-18.024523715139786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (135.2883664505653 -18.02452371513979)
27,barkely04_2011,barkely04,20111026,135.22560384494855,-17.98480115708086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (135.2256038449486 -17.98480115708086)
28,barkely05_2011,barkely05,20111027,135.08714383504486,-17.983891460642614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (135.0871438350449 -17.98389146064261)
29,barkely06_2011,barkely06,20111027,135.25743784728755,-17.987039226215057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (135.2574378472875 -17.98703922621506)
30,barkely07_2011,barkely07,20111027,135.60930951574304,-18.08531564548007,64.00392857142856,69.5975,271.93249999999995,884.6774999999999,670.8624999999997,1156.61,388.885,1894.2,136.17857142857142,142.03571428571428,554.9642857142857,1805.4642857142856,1369.107142857143,2360.4285714285706,793.6428571428571,3865.7142857142853,POINT (135.609309515743 -18.08531564548007)
31,buff01_2021,buff01,20210713,130.89859281446942,-12.336187131462983,343.6371428571428,373.0825,1092.525,5997.407500000001,2593.8675000000007,7089.932499999999,1688.33,9995.509999999998,731.1428571428571,761.3928571428571,2229.642857142857,12239.607142857143,5293.607142857144,14469.249999999998,3445.5714285714284,20399.0,POINT (130.8985928144694 -12.33618713146298)
32,centa13_2013,centa13,20130602,133.35543801341595,-14.37659043909748,200.79071428571427,217.91,728.42,4167.7475,1862.4725,4896.674999999998,1147.6849999999995,6946.782499999998,427.21428571428567,444.71428571428567,1486.5714285714284,8505.607142857141,3800.9642857142853,9993.214285714283,2342.214285714285,14177.107142857141,POINT (133.3554380134159 -14.37659043909748)
