site_clean,target,fire_count,fire_min,fire_max,fire_mean,fire_sum,fire_std,fire_med,fire_major,fire_minor,burnt_enco,fire_sn_ord,fire_f,fire_tot,since_fire,fire_gap,fire_pois1_2,fire_pois1_5,fire_pois1_10,tot_an_emsi_avg_si,tot_an_drsi_avg_si,tot_avg_emse_djf,tot_avg_emse_mam,tot_avg_emse_jja,tot_avg_emse_son,tot_avg_emse_dry,tot_avg_emse_wet,tot_avg_emse_annual,tot_avg_drse_djf,tot_avg_drse_mam,tot_avg_drse_jja,tot_avg_drse_son,tot_avg_drse_dry,tot_avg_drse_wet,tot_avg_drse_annual,b1_wfp_dry_mean,b1_wfp_dry_p50,b1_wfp_dry_p99,b1_wdc_dry_major,b1_n17_dry_major,b1_hsd_mean,b1_hsd_p50,b1_hsd_p99,b1_hmc_mean,b1_hmc_p50,b1_hmc_p99,b1_hcv_mean,b1_hcv_p50,b1_hcv_p99,b1_h99_mean,b1_h99_p50,b1_h99_p99,b1_fdc_dry_major,b1_ccw_dry_mean,b1_ccw_dry_p50,b1_ccw_dry_p99,b1_dbifm_dry_mean,b1_dp1fm_dry_mean,b1_dp1fm_dry_p50,b1_dp1fm_dry_p99,b2_dp1fm_dry_mean,b2_dp1fm_dry_p50,b2_dp1fm_dry_p95,b3_dp1fm_dry_mean,b3_dp1fm_dry_p50,b3_dp1fm_dry_p99,b1_dbifm_dry_p50,b1_dbifm_dry_p99,b2_dbifm_dry_mean,b2_dbifm_dry_p50,b2_dbifm_dry_p99,b3_dbifm_dry_mean,b3_dbifm_dry_p50,b3_dbifm_dry_p99,b4_dbifm_dry_mean,b4_dbifm_dry_p50,b4_dbifm_dry_p99,b5_dbifm_dry_mean,b5_dbifm_dry_p50,b5_dbifm_dry_p99,b6_dbifm_dry_mean,b6_dbifm_dry_p50,b6_dbifm_dry_p99,dbifmdry_r32,dbifmdry_r42,dbifmdry_r43,dbifmdry_r52,dbifmdry_r53,dbifmdry_r54,dbifmdry_r62,dbifmdry_r63,dbifmdry_r64,dbifmdry_r65,dbifmdry_GSAVI,dbifmdry_GNDVI,dbifmdry_CVI,dbifmdry_NDGI,dbifmdry_RI,dbifmdry_NBR,dbifmdry_NDII,dbifmdry_GDVI,dbifmdry_MSAVI,dbifmdry_DVI,dbifmdry_SAVI,dbifmdry_NDVI,dbifmdry_MSR
amg01.2012,8376.216104,16,10,10,10,160,0,10,10,10,1,2,0.44286,7,3,3.066666667,6.492,0.494,0.01,10.8185117,11.64479154,331,222,79.6,178.3,145.8,648.3,794.1,280.8,261.8,2.1,104.6,6.3,624.5,630.8,44,44,49.76,3,1,103.8762444,103.6888504,104.9313544,106.2549074,105.9104614,108.7297116,169.4135183,164.1144714,,113.9308658,113.7153702,117.5315234,3,66,67,72.76,292.4444444,11.22222222,12,13,32.22222222,32,35.2,55.22222222,55,58.84,276,389.92,500.7777778,490,583.88,655.8888889,654,746.64,1938.888889,1925,2059.52,2074.777778,2055,2237.24,1071.333333,1026,1215.76,13097404,38717550,29561240,41431107,31633068,10700860,21393388,16334067,5525501,5163605,2899973,5898277,50775600,-1341991,1341991,2881356,-338983,1438000,2197130,1283000,2534571,4947937,7201101
amg05.2012,24670.8,20,5,10,9.75,195,1.089724736,10,10,5,1,2,0.775,4,6,4.4,2.572,0.049,0,10.68732615,11.87994648,314.1,204.6,62.7,159.1,115,615.7,730.7,281.5,271.1,0.4,77.7,0.9,629.8,630.7,34.83333333,36,39,3,4,103.1392759,103.027401,104.6997619,105.1402829,105.1534767,107.451994,157.6130002,157.8769379,165.5580844,111.4926758,111.0981369,115.9783057,3,54.75,56,60,223.5833333,8.75,9.5,11,37.25,38,40,52.75,51.5,59.56,228,262.34,395.8333333,392.5,477.57,500.6666667,500.5,595.37,1483.5,1478.5,1594.93,1652.166667,1613,1965.5,940.25,922.5,1176.38,12648421,37477895,29630493,41738947,32999334,11136951,23753684,18779960,6338052,5691012,2372783,5793397,47524435,-1173184,1173184,2241024,-539075,1088000,1753382,983000,2111557,4957136,7222079
amg06.2012,3086.16,16,5,5,5,80,0,5,5,5,1,1,0.34444,9,3,2.766666667,9.432,1.258,0.064,10.71729864,11.86450447,316.5,207.4,64.5,162.1,118.7,621,739.7,277.7,275.1,0.4,86.7,1.4,647.2,648.6,29.77777778,29,37,2,4,103.0152859,103.1588669,104.3126053,104.740654,104.5195389,107.4299463,163.2935638,163.678772,170.4125696,110.9099536,111.1538544,115.1017297,3,48.33333333,47,58,259.5555556,5.222222222,6,6.92,33.77777778,33,39,59.44444444,59,63.92,265,339.76,477,465,548.8,614.6666667,619,683.24,1571.888889,1599,1623,1858.222222,1846,2006.2,1005.333333,998,1186.68,12886094,32953645,25573030,38956441,30231381,11821588,21076171,16355748,6395702,5410189,2328320,5341797,42394332,-1255729,1255729,2197205,-836979,1094000,1668140,957000,1997912,4379863,5995724
amg08.2012,29521.8,16,0,10,4.375,70,,0,0,10,0,0,0,0,25,15.5,0,0,0,10.77833033,11.77899598,325.3,214.9,72.3,170.4,132.9,635.4,768.3,280.2,271.1,1.3,99.8,3.2,640,643.2,57.22222222,58,61.76,3,4,103.4244283,103.1364441,105.501662,107.5853407,107.1794205,110.0047818,144.8539785,144.3368378,152.3991968,113.893553,112.9249115,118.1651343,3,79.22222222,80,82.84,159.3333333,3.333333333,4,4.92,53.33333333,54,56.2,41.77777778,41,47.52,166,187.72,317.2222222,314,348.84,307.7777778,303,355.92,1449.444444,1448,1557.6,1179.333333,1179,1263.84,578.3333333,587,608.8,9702277,45691769,47093863,37176883,38317690,8136451,18231173,18790614,3990034,4903901,2509607,6409966,44267830,,,4296991,1027397,1132000,2118919,1142000,2535524,6503417,11725261
amg10.2012,2832.032,20,0,0,0,0,0,0,0,0,0,0,0.62,5,2,4.366666667,3.768,0.127,0.001,10.84843401,11.74048285,335.4,224.6,80.8,180.2,149,655.7,804.7,317.7,255.3,1.6,102.7,4.8,652.7,657.5,16.75,16.5,23,2,1,102.5863256,102.5451889,103.436227,104.3307052,104.1945648,106.7935703,161.3260679,159.0872803,182.9372711,110.10146,110.0981026,113.1426208,2,29.1875,29,39,364.4166667,2.25,2,3.89,22.5,22,25.45,73.75,74.5,76,367,408.57,610.4166667,614.5,647.79,851.1666667,843.5,921.69,1964.333333,1969.5,2063.14,2586.583333,2614.5,2666.23,1550.833333,1583,1667.94,13944027,32180205,23078128,42374061,30388682,13167741,25406143,18220090,7894960,5995683,2681542,5260295,44917065,-1649555,1649555,1178145,-1367033,1354000,1841765,1113000,2136276,3953819,5191686
ant06.2012,6006,20,0,0,0,0,0,0,0,0,0,0,0,0,25,15.5,0,0,0,10.27105069,11.73045984,236.9,131.6,27.7,103.5,50.5,449.8,500.3,151.3,256.6,2.6,70.3,4,498.4,502.4,50.77777778,50,58.84,3,6,102.0903151,101.672554,104.0272714,102.7608524,102.8709183,103.1531702,146.4605035,146.0487061,149.640271,104.8925841,105.013031,105.6056311,3,73.33333333,73,80.84,427.5555556,10.22222222,10,13.92,48.66666667,48,54.2,39.66666667,39,45,406,543.68,641.7777778,647,748.16,738.5555556,730,883.2,2034,2037,2078.96,1734.777778,1697,1902.84,966.3333333,969,1153.6,11507964,31693213,27540244,27030817,23488792,8528898,15057133,13084098,4750901,5570358,2722476,5207477,36533498,-703408,703408,3560000,796178,1393000,2180429,1296000,2501287,4675325,6601499
auv01.2012,4268.88,25,0,0,0,0,0,0,0,0,0,0,1.55,2,5,8.3,0.732,0.002,0,10.23658981,11.9126087,388.7,220.3,45.7,311,132.4,845.4,977.8,367.4,195.1,0,66.2,0,594,594,3.888888889,3,8.76,1,3,102.0760735,102.0171661,102.3915747,103.7402225,103.6971283,104.2683875,155.6940884,157.6378479,160.9095154,108.7753737,108.7378159,111.6863779,2,7.555555556,6,15.6,537.2222222,4.777777778,5,6,11,10,15.8,82.77777778,84,85.92,534,605.24,786.7777778,787,858.24,1094.222222,1110,1174.64,1927.333333,1916,2000.6,2951,2940,3067.92,1953.111111,1946,1993.6,13907640,24496540,17613729,37507414,26968928,15311311,24824177,17849310,10133748,6618472,2218981,4205676,34123529,-1638298,1638298,-67010,-2099221,1141000,1330275,833000,1557786,2757365,3271872
auv02.2012,3086.16,16,6,6,6,96,0,6,6,6,1,1,0.44286,7,5,2.733333333,6.492,0.494,0.01,10.20208116,11.96016919,380,215.9,41,294.3,120,821.5,941.5,325.4,185.6,0,46.2,0,534.5,534.5,4.5,4,8,1,3,102.3335978,102.291153,102.9594553,104.3399718,103.9012909,106.0162381,163.9725664,163.5387115,169.9350519,108.4384969,108.799881,109.7247232,2,7.444444444,7,14,510.8888889,20.11111111,21,25.92,18.11111111,19,24.8,60,58,74.28,511,585.68,751.7777778,766,794.52,1108.555556,1112,1170.04,2037.222222,2034,2105.84,2712,2708,2810.84,1492,1496,1599.32,14745788,27098729,18377268,36074490,24464268,13312244,19846290,13458956,7323698,5501475,2476888,4612626,40017589,-1920387,1920387,1544347,-1421352,1286000,1474683,929000,1710866,2953895,3558937
auv03.2012,1349.04,20,0,0,0,0,0,0,0,0,0,0,0.775,4,13,5.733333333,2.572,0.049,0,10.20202877,11.95729619,380.6,215.7,41.4,294.7,120,822.1,942.1,330.3,183.3,0,41.8,0,532.4,532.4,1.666666667,2,2.92,1,1,101.7315767,101.5826492,102.2152423,102.9420641,102.9134369,103.2483585,155.8755697,154.1373596,164.266969,111.452223,111.3464966,113.8832678,1,3.777777778,4,5.84,506.6666667,2.888888889,3,4,7.777777778,8,9.2,87.77777778,88,89,493,544.84,798.5555556,797,878.2,1176.333333,1160,1236.12,2087.555556,2105,2191.8,2740,2716,2898.04,1549.777778,1578,1610.84,14730764,26141645,17746293,34311952,23292717,13125399,19407263,13174648,7423888,5656123,2452124,4467938,38541090,-1914894,1914894,1479648,-1352807,1289000,1429654,911000,1653758,2791909,3321636
auv05.2012,73.92,20,0,0,0,0,0,0,0,0,0,0,0.775,4,2,5,2.572,0.049,0,10.0349456,11.93405726,364.2,205.7,32.2,263.7,95.9,776.2,872.1,326.8,181.3,0,46.5,0,566.4,566.4,1.75,2,2,1,3,101.5315043,101.5907059,101.7545352,103.209571,103.2068939,103.5145062,159.7223511,161.6062927,164.2553845,106.1887021,106.1112518,106.7740631,1,3,3,5,580.7777778,30.22222222,33,39.92,4.888888889,5,9,63.44444444,57,89.6,574,680.12,906.1111111,894,1004.48,1351.333333,1337,1475.24,2002.666667,1992,2198.48,2783.777778,2703,3145.72,2126.555556,2118,2212.28,14913550,22101778,14819931,30722256,20600230,13900355,23469037,15736721,10618620,7639100,2078907,3768913,32950577,-1971644,1971644,-300388,-1632184,1096000,1001333,651000,1169041,1941545,2173189
