uid,site,date_er,date,zone,easting,northing,lattitude,longitude,datum,factor,count,height_o,height_g,Discription,issues,species,sp_l,sp_d
4,SA16_2_2,11/7/2000,,53,259016,8296171,,,AGD66,0.5,3,,,,,E. miniata,6,0
4,SA16_2_2,11/7/2000,,53,259016,8296171,,,AGD66,0.5,3,,,,,E. tetrodonta,17,0
4,SA16_2_2,11/7/2000,,53,259016,8296171,,,AGD66,0.5,3,,,,,others,3,0
4,SA16_2_2,11/7/2000,,53,259016,8296171,,,AGD66,0.5,3,,,,,dead,0,4
4,SA16_2_2,11/7/2000,,53,259016,8296171,,,AGD66,0.5,3,,,,,Eucalyptus sp.,13,0
5,SA16_1_2,11/7/2000,,53,259081,8296124,,,AGD66,0.5,3,,,,,E. tetrodonta,18,0
5,SA16_1_2,11/7/2000,,53,259081,8296124,,,AGD66,0.5,3,,,,,Eucalyptus sp.,16,0
5,SA16_1_2,11/7/2000,,53,259081,8296124,,,AGD66,0.5,3,,,,,others,2,0
5,SA16_1_2,11/7/2000,,53,259081,8296124,,,AGD66,0.5,3,,,,,dead,0,11
5,SA16_1_2,11/7/2000,,53,259081,8296124,,,AGD66,0.5,3,,,,,E. miniata,14,0
6,SA15_2_2,11/6/2000,,53,313560,8339657,,,AGD66,0.5,3,,,,,Eucalyptus terminalis,17,0
6,SA15_2_2,11/6/2000,,53,313560,8339657,,,AGD66,0.5,3,,,,,Eucalyptus tectifica,6,0
6,SA15_2_2,11/6/2000,,53,313560,8339657,,,AGD66,0.5,3,,,,,Eucalyptus sp.,2,0
6,SA15_2_2,11/6/2000,,53,313560,8339657,,,AGD66,0.5,3,,,,,others,3,0
6,SA15_2_2,11/6/2000,,53,313560,8339657,,,AGD66,0.5,3,,,,,dead,0,5
6,SA15_2_2,11/6/2000,,53,313560,8339657,,,AGD66,0.5,3,,,,,Lysiphyllum cunninghamii,3,0
7,SA15_1_2,11/6/2000,,53,313466,8339654,,,AGD66,0.5,3,,,,,Eucalyptus terminalis,23,0
7,SA15_1_2,11/6/2000,,53,313466,8339654,,,AGD66,0.5,3,,,,,Eucalyptus tectifica,10,0
7,SA15_1_2,11/6/2000,,53,313466,8339654,,,AGD66,0.5,3,,,,,Eucalyptus sp.,1,0
7,SA15_1_2,11/6/2000,,53,313466,8339654,,,AGD66,0.5,3,,,,,others,3,0
7,SA15_1_2,11/6/2000,,53,313466,8339654,,,AGD66,0.5,3,,,,,dead,0,6
8,SA14_2_2,11/5/2000,,53,346501,8347001,,,AGD66,0.25,3,,,,,Terminalia arostrata,13,0
8,SA14_2_2,11/5/2000,,53,346501,8347001,,,AGD66,0.25,3,,,,,Eucalyptus terminalis,6,0
8,SA14_2_2,11/5/2000,,53,346501,8347001,,,AGD66,0.25,3,,,,,others,1,0
8,SA14_2_2,11/5/2000,,53,346501,8347001,,,AGD66,0.25,3,,,,,dead,0,2
8,SA14_2_2,11/5/2000,,53,346501,8347001,,,AGD66,0.25,3,,,,,Eucalyptus pruinosa,1,0
9,SA14_1_2,11/5/2000,,53,346582,8346987,,,AGD66,0.25,3,,,,,Terminalia arostrata,17,0
9,SA14_1_2,11/5/2000,,53,346582,8346987,,,AGD66,0.25,3,,,,,Eucalyptus terminalis,8,0
9,SA14_1_2,11/5/2000,,53,346582,8346987,,,AGD66,0.25,3,,,,,others,3,0
9,SA14_1_2,11/5/2000,,53,346582,8346987,,,AGD66,0.25,3,,,,,dead,0,2
9,SA14_1_2,11/5/2000,,53,346582,8346987,,,AGD66,0.25,3,,,,,Eucalyptus pruinosa,1,0
10,SA13_2_2,11/5/2000,,53,349382,8351219,,,AGD66,0.5,3,,,,,Eucalyptus pruinosa,29,0
10,SA13_2_2,11/5/2000,,53,349382,8351219,,,AGD66,0.5,3,,,,,Brachychiton diversifolius,2,0
10,SA13_2_2,11/5/2000,,53,349382,8351219,,,AGD66,0.5,3,,,,,others,1,0
10,SA13_2_2,11/5/2000,,53,349382,8351219,,,AGD66,0.5,3,,,,,dead,0,14
10,SA13_2_2,11/5/2000,,53,349382,8351219,,,AGD66,0.5,3,,,,,Terminalia platyptera,4,0
11,SA13_1_2,11/5/2000,,53,349442,8351223,,,AGD66,0.5,3,,,,,Eucalyptus pruinosa,26,0
11,SA13_1_2,11/5/2000,,53,349442,8351223,,,AGD66,0.5,3,,,,,Terminalia platyptera,6,0
11,SA13_1_2,11/5/2000,,53,349442,8351223,,,AGD66,0.5,3,,,,,Atalaya hemiglauca,1,0
11,SA13_1_2,11/5/2000,,53,349442,8351223,,,AGD66,0.5,3,,,,,others,3,0
11,SA13_1_2,11/5/2000,,53,349442,8351223,,,AGD66,0.5,3,,,,,dead,0,3
11,SA13_1_2,11/5/2000,,53,349442,8351223,,,AGD66,0.5,3,,,,,Eucalyptus sp.,1,0
12,SA12_2_2,11/5/2000,,53,364642,8350570,,,AGD66,0.25,3,,,,,Eucalyptus sp.,13,0
12,SA12_2_2,11/5/2000,,53,364642,8350570,,,AGD66,0.25,3,,,,,dead,0,1
13,SA12_1_2,11/5/2000,,53,364729,8350572,,,AGD66,0.25,3,,,,,Eucalyptus sp.,17,0
