,uid,site,date,zone,easting,northing,lattitude,longitude,datum,factor,count,north_sp01,north_l_sp01,north_d_sp01,north_sp02,north_l_sp02,north_d_sp02,north_sp03,north_l_sp03,north_d_sp03,north_sp04,north_l_sp04,north_d_sp04,north_sp05,north_l_sp05,north_d_sp05,north_sp06,north_l_sp06,north_d_sp06,north_sp07,north_l_sp07,north_d_sp07,north_sp08,north_l_sp08,north_d_sp08,north_sp09,north_l_sp09,north_d_sp09,north_sp10,north_l_sp10,north_d_sp10,north_sp11,north_l_sp11,north_d_sp11,cent_sp01,cent_l_sp01,cent_d_sp01,cent_sp02,cent_l_sp02,cent_d_sp02,cent_sp03,cent_l_sp03,cent_d_sp03,cent_sp04,cent_l_sp04,cent_d_sp04,cent_sp05,cent_l_sp05,cent_d_sp05,cent_sp06,cent_l_sp06,cent_d_sp06,cent_sp07,cent_l_sp07,cent_d_sp07,cent_sp08,cent_l_sp08,cent_d_sp08,cent_sp09,cent_l_sp09,cent_d_sp09,cent_sp10,cent_l_sp10,cent_d_sp10,cent_sp11,cent_l_sp11,cent_d_sp11,south_sp01,south_l_sp01,south_d_sp01,south_sp02,south_l_sp02,south_d_sp02,south_sp03,south_l_sp03,south_d_sp03,south_sp04,south_l_sp04,south_d_sp04,south_sp05,south_l_sp05,south_d_sp05,south_sp06,south_l_sp06,south_d_sp06,south_sp07,south_l_sp07,south_d_sp07,south_sp08,south_l_sp08,south_d_sp08,south_sp09,south_l_sp09,south_d_sp09,south_sp10,south_l_sp10,south_d_sp10,south_sp11,south_l_sp11,south_d_sp11,se_sp01,se_l_sp01,se_d_sp01,se_sp02,se_l_sp02,se_d_sp02,se_sp03,se_l_sp03,se_d_sp03,se_sp04,se_l_sp04,se_d_sp04,se_sp05,se_l_sp05,se_d_sp05,se_sp06,se_l_sp06,se_d_sp06,se_sp07,se_l_sp07,se_d_sp07,se_sp08,se_l_sp08,se_d_sp08,se_sp09,se_l_sp09,se_d_sp09,se_sp10,se_l_sp10,se_d_sp10,se_sp11,se_l_sp11,se_d_sp11,nw_sp01,nw_l_sp01,nw_d_sp01,nw_sp02,nw_l_sp02,nw_d_sp02,nw_sp03,nw_l_sp03,nw_d_sp03,nw_sp04,nw_l_sp04,nw_d_sp04,nw_sp05,nw_l_sp05,nw_d_sp05,nw_sp06,nw_l_sp06,nw_d_sp06,nw_sp07,nw_l_sp07,nw_d_sp07,nw_sp08,nw_l_sp08,nw_d_sp08,nw_sp09,nw_l_sp09,nw_d_sp09,nw_sp10,nw_l_sp10,nw_d_sp10,nw_sp11,nw_l_sp11,nw_d_sp11,sw_sp01,sw_l_sp01,sw_d_sp01,sw_sp02,sw_l_sp02,sw_d_sp02,sw_sp03,sw_l_sp03,sw_d_sp03,sw_sp04,sw_l_sp04,sw_d_sp04,sw_sp05,sw_l_sp05,sw_d_sp05,sw_sp06,sw_l_sp06,sw_d_sp06,sw_sp07,sw_l_sp07,sw_d_sp07,sw_sp08,sw_l_sp08,sw_d_sp08,sw_sp09,sw_l_sp09,sw_d_sp09,sw_sp10,sw_l_sp10,sw_d_sp10,sw_sp11,sw_l_sp11,sw_d_sp11,ne_sp01,ne_l_sp01,ne_d_sp01,ne_sp02,ne_l_sp02,ne_d_sp02,ne_sp03,ne_l_sp03,ne_d_sp03,ne_sp04,ne_l_sp04,ne_d_sp04,ne_sp05,ne_l_sp05,ne_d_sp05,ne_sp06,ne_l_sp06,ne_d_sp06,ne_sp07,ne_l_sp07,ne_d_sp07,ne_sp08,ne_l_sp08,ne_d_sp08,ne_sp09,ne_l_sp09,ne_d_sp09,ne_sp10,ne_l_sp10,ne_d_sp10,ne_sp11,ne_l_sp11,ne_d_sp11
0,,Ida18a,17/06/2014 12:43,,,,,,,0.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White woof,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grevillea striata,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White wood,5.5,0,Grevillea striata,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Krd15a,15/07/2014 10:05,485888.5639,485893.1859,7725955.928,,,,0.1,7,Acacia ancistrocarpa,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia ancistrocarpa,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Krd16a,15/07/2014 13:29,498513.6623,498517.4978,7720895.118,,,,0.1,7,Corymbia opaca,0,4,Acacia curvinervia,0,1,Acacia coriacea,5.5,0,Hakea chordophylla,5.5,0,,,,,,,,,,,,,,,,,,,,,,Corymbia opaca,7,0,Acacia coriacea,3.5,0,Hakea chordophylla,2,0,Tree lignum,1,0,Eucalyptus coolabah,2,0,,,,,,,,,,,,,,,,,,,Corymbia opaca,5,0,Acacia coriacea,13,1,Hakea chordophylla,4,1,Eucalyptus coolabah,2,0,,,,,,,,,,,,,,,,,,,,,,Corymbia opaca,6,0,Acacia coriacea,0.5,0,Ventilago viminalis,1,0,Hakea chordophylla,5,0,,,,,,,,,,,,,,,,,,,,,,Corymbia opaca,9,0,Acacia coriacea,3,0,Hakea chordophylla,1,0,Acacia mini,6,0,Pedalastigma,0,1,,,,,,,,,,,0,1,,,,,,,Corymbia opaca,11,0,Acacia curvinervia,0,1,Acacia coriacea,3,0,Hakea chordophylla,3,0,Eremophila latrobei,1,0,,,,,,,,,,,,,,,,,,,Corymbia opaca,2,0,Acacia curvinervia,0,2,Acacia coriacea,0,3,Hakea chordophylla,7,0,Eucalyptus coolabah,2,2,,,,,,,,,,,,,,,,,,
3,,Krd17a,15/07/2014 16:28,504047.4217,504053.9479,7716607.28,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Krd18a,16/07/2014 15:21,535056.6556,535062.9937,7721807.079,,,,0.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia melleodora,0,0,Eucalyptus,3,0,Acacia coriacea,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia coriacea,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia coriacea,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia melleodora,0,8,Acacia coriacea,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Krd20a,17/07/2014 9:10,542845.8538,542850.148,7726303.841,,,,0.1,7,Eucalyptus coolabah,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eucalyptus coolabah,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. Coolabah,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. Coolabah,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coolabah,2.5,0,Corymbia opaca,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. Coolabah,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. coolabah,8,2,Acacia coriacea,1,0,Corymbia,2,0,Carissa,2,0,,,,,,,,,,,,,,,,,,,,,
6,,Krd21a,17/07/2014 13:06,511280.2801,511278.7446,7726972.287,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,27/09/2014 7:57,273350,273354,8314042,,,,0.25,7,E. microtheca 103-0685 0687,14,0,Carissa lanceolata 103-0691 0693,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E microtheca,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. microtheca,17,0,Melaleuca sp,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E microtheca,15,0,Melaleuca sp,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. microtheca,12,1,Bauhinia,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. microtheca,9,0,Bauhinia,3,0,Melaleuca sp,10,0,,,,,,,,,,,,,,,,,,,,,,,,,E. microtheca,12,0,Bauhinia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,LKF06a,25/09/2014 7:38,252178,252190,8328432,,,,0.25,7,E. tectifica  103-0572 0575,26,0,Erythrophloem chlorostachys 103-0579 0581,1,0,E. dichromophloia 103-0576 0578,3,0,,,,,,,,,,,,,,,,,,,,,,,,,E. tectifica ,19,0,Erythrophluem chlorostachys,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. Tectifica ,18,1,Erythrophloem chlorostachys,3,0,Acacia sp,1,0,,,,,,,,,,,,,,,,,,,,,,,,,E. Tectifica ,20,0,Erythrophloem chlorostachys,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. Tectifica ,17,3,Erythrophloem chlorostachys,1,0,E. dichromophloia,2,0,,,,,,,,,,,,,,,,,,,,,,,,,E. tectifica ,23,0,Erythrophloem chlorostachys,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. tectifica,23,1,,,,E. dichromophloia,1,0,,,,,,,,,,,,,,,,,,,,,,,,
9,,LKF07a,25/09/2014 10:11,255963,255961,8327429,,,,0.25,7,"E. tectifica (103-0596,597,598)",24,1,"Dotted acacia (103-0599,600,601)",4,0,"Fury acacia (103-0602,603,604)",2,0,Gyrocarpus americanus,1,0,,,,,,,,,,,,,,,,,,,,,,"E. tectifica (103-0596,597,598)",26,0,"Fury acacia (103-0602,603,604)",2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"E. Tectifica (103-0596,597,598)",15,0,"Dotted acacia (103-0599,600,601)",2,0,"Fury acacia (103-0602,603,604)",13,0,Euc dicho,5,0,,,,,,,,,,,,,,,,,,,,,,"E. tecthica (103-0596,597,598)",11,2,"Fury acacia (103-0602,603,604)",7,0,E. dichromophloia,4,0,,,,,,,,,,,,,,,,,,,,,,,,,"E. tectifica (103-0596,597,598)",18,2,"Dotted acacia (103-0599,600,601)",,,"Fury acacia (103-0602,603,604)",6,0,,,,,,,,,,,,,,,,,,,,,,,,,"E. tectifica (103-0596,597,598)",23,0,"Dotted acacia (103-0599,600,601)",0,0,"Fury acacia (103-0602,603,604)",4,0,Brachychiton populneus,1,0,,,,,,,,,,,,,,,,,,,,,,"E. tectifica (103-0596,597,598)",20,0,"Dotted acacia (103-0599,600,601)",1,0,"Fury acacia (103-0602,603,604)",2,0,E. dichromophloia,5,0,,,,,,,,,,,,,,,,,,,,,
