uid	site	date_er	date	zone	easting	northing	lattitude	longitude	datum	factor	count	height_o	height_g	Discription	issues	cent_sp01	cent_l_sp01	cent_d_sp01	cent_sp02	cent_l_sp02	cent_d_sp02	cent_sp03	cent_l_sp03	cent_d_sp03	cent_sp04	cent_l_sp04	cent_d_sp04	cent_sp05	cent_l_sp05	cent_d_sp05	cent_sp06	cent_l_sp06	cent_d_sp06	cent_sp07	cent_l_sp07	cent_d_sp07	cent_sp08	cent_l_sp08	cent_d_sp08	cent_sp09	cent_l_sp09	cent_d_sp09	cent_sp10	cent_l_sp10	cent_d_sp10	cent_sp11	cent_l_sp11	cent_d_sp11	north_sp01	north_l_sp01	north_d_sp01	north_sp02	north_l_sp02	north_d_sp02	north_sp03	north_l_sp03	north_d_sp03	north_sp04	north_l_sp04	north_d_sp04	north_sp05	north_l_sp05	north_d_sp05	north_sp06	north_l_sp06	north_d_sp06	north_sp07	north_l_sp07	north_d_sp07	north_sp08	north_l_sp08	north_d_sp08	north_sp09	north_l_sp09	north_d_sp09	north_sp10	north_l_sp10	north_d_sp10	north_sp11	north_l_sp11	north_d_sp11	south_sp01	south_l_sp01	south_d_sp01	south_sp02	south_l_sp02	south_d_sp02	south_sp03	south_l_sp03	south_d_sp03	south_sp04	south_l_sp04	south_d_sp04	south_sp05	south_l_sp05	south_d_sp05	south_sp06	south_l_sp06	south_d_sp06	south_sp07	south_l_sp07	south_d_sp07	south_sp08	south_l_sp08	south_d_sp08	south_sp09	south_l_sp09	south_d_sp09	south_sp10	south_l_sp10	south_d_sp10	south_sp11	south_l_sp11	south_d_sp11	sw_sp01	sw_l_sp01	sw_d_sp01	sw_sp02	sw_l_sp02	sw_d_sp02	sw_sp03	sw_l_sp03	sw_d_sp03	sw_sp04	sw_l_sp04	sw_d_sp04	sw_sp05	sw_l_sp05	sw_d_sp05	sw_sp06	sw_l_sp06	sw_d_sp06	sw_sp07	sw_l_sp07	sw_d_sp07	sw_sp08	sw_l_sp08	sw_d_sp08	sw_sp09	sw_l_sp09	sw_d_sp09	sw_sp10	sw_l_sp10	sw_d_sp10	sw_sp11	sw_l_sp11	sw_d_sp11	ne_sp01	ne_l_sp01	ne_d_sp01	ne_sp02	ne_l_sp02	ne_d_sp02	ne_sp03	ne_l_sp03	ne_d_sp03	ne_sp04	ne_l_sp04	ne_d_sp04	ne_sp05	ne_l_sp05	ne_d_sp05	ne_sp06	ne_l_sp06	ne_d_sp06	ne_sp07	ne_l_sp07	ne_d_sp07	ne_sp08	ne_l_sp08	ne_d_sp08	ne_sp09	ne_l_sp09	ne_d_sp09	ne_sp10	ne_l_sp10	ne_d_sp10	ne_sp11	ne_l_sp11	ne_d_sp11	se_sp01	se_l_sp01	se_d_sp01	se_sp02	se_l_sp02	se_d_sp02	se_sp03	se_l_sp03	se_d_sp03	se_sp04	se_l_sp04	se_d_sp04	se_sp05	se_l_sp05	se_d_sp05	se_sp06	se_l_sp06	se_d_sp06	se_sp07	se_l_sp07	se_d_sp07	se_sp08	se_l_sp08	se_d_sp08	se_sp09	se_l_sp09	se_d_sp09	se_sp10	se_l_sp10	se_d_sp10	se_sp11	se_l_sp11	se_d_sp11	nw_sp01	nw_l_sp01	nw_d_sp01	nw_sp02	nw_l_sp02	nw_d_sp02	nw_sp03	nw_l_sp03	nw_d_sp03	nw_sp04	nw_l_sp04	nw_d_sp04	nw_sp05	nw_l_sp05	nw_d_sp05	nw_sp06	nw_l_sp06	nw_d_sp06	nw_sp07	nw_l_sp07	nw_d_sp07	nw_sp08	nw_l_sp08	nw_d_sp08	nw_sp09	nw_l_sp09	nw_d_sp09	nw_sp10	nw_l_sp10	nw_d_sp10	nw_sp11	nw_l_sp11	nw_d_sp11
0	lit01	26/04/2013	4/26/2013	52	724039	8611982			GDA94	0.5	7					E. tetrodonta	15	0	E. chlorostachys	3	0	P. spiralis	2	0	C. armstrongii	1	0	Buchorvet	3	0																			E. tetrodonta	10	0	E. miniata	1	0	L. humilis	3	0	E. chlorostachys	2	0	P. spiralis	2	0	P. careya	2	0	Buchorvet	2	0	Corymbia sp.	1	0										E. tetrodonta	11	0	E. miniata	7	0	E. chlorostachys	8	0	P. spiralis	7	0	P. careya	2	0	Buchorvet	1	0	P. pubescens	1	0													E. tetrodonta	8	0	E. miniata	6	0	E. chlorostachys	10	0	Buchorvet	1	0	P. careya	1	0	P. spiralis	9	2	C. armstrongii	1	0	F. achleata	2	0	C. fraseri	2	0							E. tetrodonta	15	2	E. chlorostachys	14	2	Buchorvet	4	0	P. spiralis	7	0	L. humilis	2	0																			E. tetrodonta	14	2	P. spiralis	15	1	Syzygium suborbiculare	8	0	P. careya	1	0																						E. tetrodonta	25	0	E. miniata	4	0	P. spiralis	6	1	E. chlorostachys	1	0	F. achleata	1	0	C. armstrongii	1	0															
1	agb02	17/04/2012	4/17/2012	52	717789.008	8601033.837			WGS84	0	7				Basal stand data not factor																																																																																																																																																																																																																																							
2	buff01	13/07/2012	7/13/2012	52	706454	8635540			WGS84	0.25	7	12	0.6	Eucalypt woodland over red gravely earths		E. tetrodonta	18	1	Gardenia sp.	2	0	L. humilis	1	0	Strychnos lucida	1	0	Antidesma sp.	2	0																			E. tetrodonta	9	1	Gardenia sp.	4	0	L. humilis	1	0	Strychnos lucida	1	0	Antidesma sp.	1	0																			E. tetrodonta	19	1	Gardenia sp.	1	0	Antidesma sp.	1	0	Buchanania obovata	2	0	Terminalia sp.	2	4	P. careya	1	0																E. tetrodonta	18	3	L. humilis	1	0	Buchanania obovata	2	0	Terminalia sp.	1	0																						E. tetrodonta	27	1	Exocarpos latifolius	1	0	Buchanania obovata	1	0	E. chlorostachys	0	1																						E. tetrodonta	19	1	Gardenia sp.	2	0	Antidesma sp.	1	0	Buchanania obovata	1	0	Terminalia sp.	2	0																			E. tetrodonta	15	0	Gardenia sp.	2	0	Antidesma sp.	2	0	Exocarpos latifolius	4	0																					
3	ep01	13/07/2012	7/13/2012	52	698028	8627310			WGS84	0.5	7					Camoty	30	1	Mid layer vine	5	2																												Camoty	25	1	Mid layer vine	4	2																												Camoty	25	1	Mid layer vine	3	3																												Camoty	18	0	Mid layer vine	7	2																												Camoty	16	0	Mid layer vine	6	2																												Camoty	23	0	Mid layer vine	5	0																												Camoty	17	3	Mid layer vine	1	1																											
4	girra01	5/6/2012	6/5/2012	52	725819	8615707			WGS84	0.5	6					E. tetrodonta	1	0	E. miniata	9	0	E. chlorostachys	2	0	Terminalia ferdinandiana	5	0	Lophostemon lactifluus	3	0	Corymbia polysciada	1	0																E. tetrodonta	5	0	E. miniata	8	0	E. chlorostachys	3	0	Terminalia ferdinandiana	6	0	dead	0	1																			E. tetrodonta	4	0	E. miniata	10	0	E. chlorostachys	3	0	Terminalia ferdinandiana	4	0	Corymbia porrecta	2	0	dead	0	1	P. careya	1	0	C. armstrongii	1	0										E. tetrodonta	3	0	E. miniata	9	0	E. chlorostachys	3	0	Terminalia ferdinandiana	2	0	Corymbia porrecta	3	0	dead	0	1	C. armstrongii	1	0	Buchanania obovata	1	0										E. tetrodonta	18	0	E. miniata	8	0	E. chlorostachys	3	0	Terminalia ferdinandiana	4	0	Corymbia porrecta	1	0	dead	0	2	C. armstrongii	2	0	Gardenia megasperma	1	0										E. tetrodonta	7	0	E. miniata	13	0	E. chlorostachys	4	0	Terminalia ferdinandiana	3	0	Corymbia porrecta	1	0	dead	0	2																																																
5	girra02	5/6/2012	6/5/2012	52	731679	8614633			GDA94	0.1	7					Melaleuca nervoa	23	0	Lophostemon lactifluus	1	0	P. spiralis	2	0	Eucalyptus alba	1	0																						Melaleuca nervoa	20	5	P. spiralis	1	1	Eucalyptus alba	2	0																									Melaleuca nervoa	3	8	Lophostemon lactifluus	4	2	P. spiralis	2	0	Eucalyptus alba	4	0																						Melaleuca nervoa	22	0	P. spiralis	2	0	Eucalyptus alba	1	0																									Melaleuca nervoa	4	2	Lophostemon lactifluus	4	1	P. spiralis	8	0	Melaleuca nervoa	3																							Melaleuca nervoa	10	4	P. spiralis	2	0	Eucalyptus alba	3	0																									Melaleuca nervoa	8	0	Lophostemon lactifluus	11	0	P. spiralis	2	1	Eucalyptus alba	2	0																					
6	hshr01	6/6/2012	6/6/2012	52	724169	8626515			WGS84	1	7	15	0.5			Acacia auriculiformis	5	0	Lophostemon lactifluus	10	0	Syzygium suborbiculare	1	0	Canarium australianum	1	0	P. careya	6	0	E. chlorostachys	4	0	C. armstrongii	1	0	Mallotus nesophilus	1	0										Acacia auriculiformis	6	3	Lophostemon lactifluus	6	3	Syzygium suborbiculare	1	0	Canarium australianum	2	0	P. careya	3	0	Bridelia tomentosa	2	0	Alphitonia incana	2	0	E. chlorostachys	1	0	dead	0	1							Acacia auriculiformis	9	3	Lophostemon lactifluus	6	0	dead	0	5	P. careya	1	0	E. chlorostachys	1	0	Eucalyptus bella	1	0	Eucalyptus tectifica	1	0													Acacia auriculiformis	3	0	Lophostemon lactifluus	7	0	Canarium australianum	3	0	P. careya	9	0	E. chlorostachys	4	0	Mallotus nesophilus	1	0	Brachychiton diversifolius	1	0													Acacia auriculiformis	9	3	Lophostemon lactifluus	1	0	P. careya	1	0	E. chlorostachys	1	0	Mallotus nesophilus	5	0	Breynia cerunea	1	0																Acacia auriculiformis	6	2	Lophostemon lactifluus	9	0	P. careya	5	0	E. chlorostachys	5	0	C. armstrongii	1	0	Mallotus nesophilus	2	0	E. miniata	1	0													Acacia auriculiformis	6	2	Lophostemon lactifluus	6	0	P. careya	4	0	E. chlorostachys	1	0	Eucalyptus bella	1	0	Premna acuminata	3	0	Sterculia quadrifida	1	0	Corymbia polysciada	1	0	Denhamia obscura	1	0						
7	hsf01	10/7/2012	7/10/2012	52	720781	8620707			WGS84	0.5	7	12	0.2	Callitris intratropica plantation		Callitris intratropica 	41	1																															Callitris intratropica 	38	2	E. miniata	1	0																												Callitris intratropica 	37	0	E. chlorostachys	1	0																												Callitris intratropica 	37	0	Corymbia bleeseri	1	0																												Callitris intratropica 	38	1	E. miniata	1	0																												Callitris intratropica 	39	0	E. miniata	1	0																												Callitris intratropica 	36	3																														
8	hsf02	10/7/2012	7/10/2012	52	722394	8620275			WGS84	0.5	7	12	0.5	Callitris intratropica plantation		Callitris intratropica 	44	1	E. tetrodonta	1	0																												Callitris intratropica 	41	0	E. tetrodonta	5	0																												Callitris intratropica 	32	1	E. tetrodonta	1	0																												Callitris intratropica 	35	2	E. tetrodonta	2	0																												Callitris intratropica 	32	0	E. tetrodonta	2	0																												Callitris intratropica 	37	2	E. tetrodonta	3	1	E. miniata	1	0	Buchanania obovata	1	0																						Callitris intratropica 	39	1																														
9	wedo01	6/6/2012	6/6/2012	52	717807	8605823			WGS84	0.1	7	10	0.8			E. tetrodonta	3	0	E. miniata	2	0	E. chlorostachys	9	0	Corymbia polycarpa	3	0	Corymbia polysciada	3	0	L. humilis	9	0	Buchanania obovata	1	0	dead	2	0										E. tetrodonta	3	0	E. miniata	1	0	E. chlorostachys	7	0	Corymbia polycarpa	3	0	Corymbia polysciada	4	0	P. spiralis	1	0	L. humilis	7	0	dead	0	4										E. tetrodonta	2	0	E. miniata	2	0	E. chlorostachys	7	0	Corymbia polycarpa	7	0	Corymbia polysciada	5	0	P. spiralis	1	0	L. humilis	11	0	dead	0	2	Grevillea pteridifolia	2	0							E. tetrodonta	2	0	E. miniata	1	0	E. chlorostachys	14	0	Corymbia polycarpa	3	0	Corymbia polysciada	6	0	L. humilis	2	0	dead	0	1	Lophostemon lactifluus	9	0										E. tetrodonta	3	0	E. miniata	5	0	E. chlorostachys	8	0	Corymbia polycarpa	2	0	Corymbia polysciada	5	0	L. humilis	2	0	dead	0	2	Grevillea pteridifolia	1	0	Terminalia ferdinandiana	1	0							E. tetrodonta	2	0	E. miniata	2	2	E. chlorostachys	15	0	Corymbia polycarpa	2	0	Corymbia polysciada	5	0	P. spiralis	1	0	L. humilis	7	0	dead	0	5										E. tetrodonta	4	0	E. miniata	4	0	E. chlorostachys	7	0	Corymbia polycarpa	3	0	Corymbia polysciada	4	0	L. humilis	5	0	dead	0	1	Terminalia ferdinandiana	1	0									
