site_clean,AGB,b1_wfp_dry_mean,b1_ccw_dry_mean,b1_hsd_mean,b1_hmc_mean,b1_hcv_mean,b1_h99_mean,b1_h25_mean,b1_dp1fm_mean,b1_dp1fm_dry_mean,b2_dp1fm_mean,b2_dp1fm_dry_mean,b3_dp1fm_mean,b3_dp1fm_dry_mean,b1_dbifm_mean,b2_dbifm_mean,b3_dbifm_mean,b4_dbifm_mean,b5_dbifm_mean,b6_dbifm_mean,dbifmdry_GNDVI,dbifman_GNDVI,dbifmdry_MSR,dbifman_MSR,dbifmdry_NBR,dbifman_NBR,dbifmdry_NDVI,dbifman_NDVI,dbifmdry_CVI,dbifman_CVI,dbifmdry_GDVI,dbifman_GDVI,dbifmdry_GSAVI,dbifman_GSAVI,dbifmdry_NDGI,dbifman_NDGI,dbifmdry_RI,dbifman_RI,dbifmdry_NDII,dbifman_NDII,dbifmdry_MSAVI,dbifman_MSAVI,dbifmdry_SAVI,dbifman_SAVI,dbifmdry_r42,dbifman_r42,dbifmdry_r32,dbifman_r32,dbifmdry_r43,dbifman_r43,dbifmdry_r52,dbifman_r52,dbifmdry_r53,dbifman_r53,dbifmdry_r54,dbifman_r54,dbifmdry_r62,dbifman_r62,dbifmdry_r63,dbifman_r63,dbifmdry_r64,dbifman_r64,dbifmdry_r65,dbifman_r65,dr_dsii,dr_wsum,dr_wsii,tx_dsum,tx_dsii,tx_wsum,tx_wsii,rx_wsum,rx_wsii,rx_dsii,ma_ammd,ma_asum,ma_dsii,ma_dmmd
AGB02.2012,0.0,45.88888888888889,68.0,103.63281334771052,107.12913513183594,151.3176066080729,114.12698703342016,105.0348595513238,8.777777777777779,10.666666666666666,47.22222222222222,44.33333333333334,42.333333333333336,43.66666666666666,282.1111111111112,488.77777777777777,549.5555555555555,2001.0,1866.555555555556,1073.0,5566970,6078746,6047316,9091382,1964774,3018868,4405850,5694118,47885270,46129611,1409000,1513000,2806400,3030445,-1538462,-588235,1538462,588235,-383207,349108,2022182,2531772,2336781,2884768,35115865,40938850,13648247,11243464,25729212,36411241,37914439,38188225,27779713,33964820,10796954,9328114,23594771,21952717,17287767,19524869,6719120,5362319,6223163,5748556,0.000278036633972,4590.599999999975,0.024102184921503,5040.7,0.0443271771073341,7398.100000000009,0.0385542996227741,11355.699999999992,0.0927514061331749,0.1011524498462677,5.8500000000000005,1742.8999999999994,0.4177177250385285,3.4000000000000004
AMG01.2012,8376.216104000001,44.0,66.0,103.87624443901908,106.2549073961046,169.41351826985678,113.9308658175998,103.03912353515624,13.111111111111107,1.3333333333333333,30.0,43.66666666666666,55.55555555555557,53.55555555555557,322.8888888888889,641.5555555555555,953.3333333333331,2172.0,2239.555555555556,1448.0,5898277,5442588,7201101,5096750,2881356,2000000,4947937,3900800,50775600,50377506,1438000,1531000,2899973,2939332,-1341991,-1957340,1341991,1957340,-338983,-151893,2197130,1970310,2534571,2250462,38717550,33855213,13097404,14859716,29561240,22783217,41431107,34908209,31633068,23491841,10700860,10311029,21393388,22570142,16334067,15188811,5525501,6666667,5163605,6465569,4.101760350749828e-05,3802.099999999984,0.0242192316800355,4597.300000000002,0.0875644385814666,7834.200000000003,0.054712489247322,7668.100000000002,0.1232713609933853,0.1393681615591049,2.8000000000000003,913.3,0.2751230299472809,0.8
AMG03.2012,0.0,3.333333333333333,6.916666666666668,101.58371861775714,103.48564910888672,137.6957982381185,106.5696957906087,102.44139226277667,4.833333333333333,0.6666666666666666,8.166666666666666,10.416666666666666,85.5,87.41666666666669,546.5833333333334,964.0,1557.416666666667,2862.416666666666,3354.666666666666,2108.1666666666665,5460945,4960795,4099401,3557840,1429988,1517103,3306405,2953157,58363315,47951718,1629000,1898000,3060879,3225697,-2629287,-2352241,2629287,2352241,-1452928,-791506,1787156,1886128,2030475,2078246,34056848,29693119,17141627,16155775,19867920,18379261,45633075,34799447,26621205,21539943,13399090,11719701,25540790,21868949,14899864,13536305,7499458,7364989,5596991,6284281,6.592364115931559e-06,3724.19999999998,0.0243236757814884,4625.800000000001,0.0880626067519187,7926.599999999998,0.050365675240755,7394.599999999998,0.1362654566764831,0.1484608352184295,2.0500000000000003,808.7999999999995,0.2467153221368789,0.3
AMG05.2012,24670.8,34.833333333333336,54.75,103.1392758687337,105.14028294881184,157.61300023396808,111.49267578125,102.66921488444012,15.5,8.75,17.833333333333332,37.25,65.25,52.75,372.58333333333326,601.6666666666665,821.1666666666664,1611.083333333333,2269.4166666666665,1633.5,5793397,4566004,7222079,4008002,2241024,-67818,4957136,3248355,47524435,36617590,1088000,1010000,2372783,2100666,-1173184,-1547117,1173184,1547117,-539075,-1695876,1753382,1328451,2111557,1594456,37477895,26777008,12648421,13648199,29630493,19619444,41738947,37718837,32999334,27636493,11136951,14086277,23753684,27149584,18779960,19892429,6338052,10139140,5691012,7197885,6.592364115931559e-06,3732.399999999984,0.0243385098874568,4619.600000000001,0.0877824947237968,7913.799999999997,0.0508551076054573,7436.299999999997,0.1342026889324188,0.1462162286043167,2.125,808.4999999999999,0.2490084916353225,0.3
AMG06.2012,3086.16,29.777777777777786,48.33333333333334,103.0152859157986,104.74065399169922,163.29356384277344,110.90995364718972,102.5407536824544,24.777777777777786,5.222222222222221,25.777777777777786,33.77777777777778,48.11111111111112,59.44444444444444,340.4444444444445,698.8888888888887,1011.8888888888888,2033.7777777777767,1990.333333333333,1322.5555555555557,5341797,4888319,5995724,4180551,2197205,2119225,4379863,3357424,42394332,42186907,1094000,1335000,2328320,2590221,-1255729,-1831480,1255729,1831480,-836979,106885,1668140,1645692,1997912,1905768,32953645,29100159,12886094,14478537,25573030,20098825,38956441,28478537,30231381,19669485,11821588,9786385,21076171,18923688,16355748,13070166,6395702,6502950,5410189,6644895,1.0254757398797665e-05,3746.8999999999824,0.0243406724184751,4615.300000000001,0.0877429395914077,7901.700000000005,0.0513415746390819,7468.799999999997,0.1329301297664642,0.1456756442785263,2.125,822.0999999999997,0.2479025721549988,0.3
AMG10.2012,2832.032,17.75,30.91666666666667,102.64441680908205,104.44855626424152,161.04228337605798,110.34778086344404,102.34632771809896,1.3333333333333333,1.5,30.5,24.91666666666667,66.66666666666667,72.08333333333333,377.83333333333326,617.5,863.8333333333336,1987.333333333333,2564.6666666666665,1506.166666666667,5260295,5261137,5191686,5173771,1178145,1377040,3953819,3943860,44917065,45044144,1354000,1370000,2681542,2702525,-1649555,-1662162,1649555,1662162,-1367033,-1267853,1841765,1854927,2136276,2147771,32180205,32183536,13944027,13989204,23078128,23005981,42374061,41533063,30388682,29689369,13167741,12905065,25406143,24391363,18220090,17435848,7894960,7578833,5995683,5872758,2.539220622566063e-05,3781.999999999983,0.0243025720119476,4592.899999999998,0.0870648175477981,7836.2,0.0542026571929454,7693.200000000003,0.1238459199666976,0.138587549328804,2.8500000000000005,916.1,0.2683544158935547,0.7000000000000001
ANT01.2012,0.0,1.0,1.5,100.99809201558428,101.97762171427412,145.27521514892578,104.60144742329916,101.17082913716636,20.0,15.833333333333336,3.25,1.8333333333333333,75.25,80.75,812.4166666666664,1133.8333333333333,1503.833333333333,2290.1666666666665,3173.583333333333,2218.1666666666665,3187001,3380076,2126164,2343498,-87851,159716,1904272,2074875,25478188,26812335,1118000,1157000,1971086,2060430,-1365607,-1403642,1365607,1403642,-1751070,-1616328,1093678,1174111,1249156,1342545,19350993,20198442,13160683,13263266,14703639,15228860,27567097,27989857,20946554,21103292,14245830,13857434,19693970,19563428,14964246,14750083,10177240,9685612,7144013,6989470,2.832209247571882e-05,3591.199999999986,0.0244569033384323,4519.999999999999,0.0867699086666107,7991.899999999998,0.0435440875589847,6767.499999999997,0.1352514624595642,0.1581661850214004,1.425,641.5000000000001,0.3085158169269562,0.2
ANT02.2012,0.0,5.636363636363638,10.818181818181818,101.61292457580566,103.6785952250163,154.69525273640954,102.1459452311198,101.5108807881673,12.25,8.083333333333334,12.666666666666664,12.083333333333336,73.58333333333333,78.16666666666667,593.8333333333335,872.3333333333336,1184.4166666666667,2019.0,2775.583333333333,1788.083333333333,4041681,3967485,3152178,3058470,795902,606777,2673451,2606931,32106672,31438010,1183000,1147000,2238552,2180332,-1533981,-1517510,1533981,1517510,-1444629,-1576971,1360000,1312306,1577702,1526880,23563515,23144822,13618911,13577570,17302055,17046366,31517670,31817921,23142577,23434180,13375623,13747317,20083095,20497707,14746476,15096742,8522962,8856282,6372011,6442189,1.6114490790641867e-05,3553.099999999988,0.0245291106402874,4494.200000000002,0.089172713458538,8021.5,0.0441029034554958,6471.000000000001,0.1397266983985901,0.1747470796108245,0.75,571.1999999999998,0.3260663449764252,0.1
ANT03.2012,665.28,64.58333333333333,84.83333333333333,102.10119819641112,104.45642153422035,141.31321589152012,103.09616915384927,103.78114827473956,4.583333333333333,4.333333333333333,47.66666666666666,59.33333333333334,46.0,34.833333333333336,539.0833333333334,779.3333333333335,876.5833333333336,2319.6666666666665,2479.1666666666665,1444.833333333333,5523507,4970949,7320508,6270403,3374751,2325272,5000000,4516432,40085075,33475721,1915000,1540000,3392583,2852556,-723252,-586103,723252,586103,357968,-333472,2866948,2348310,3133442,2641245,34688574,29764756,11566796,11247861,29989787,26462592,32284149,31811377,27911057,28282156,9306854,10687599,17178909,18539350,14851917,16482555,4952325,6228625,5321159,5827899,1.6114490790641867e-05,3553.099999999988,0.0245291106402874,4494.200000000002,0.089172713458538,8021.5,0.0441029034554958,6471.000000000001,0.1397266983985901,0.1747470796108245,0.75,571.1999999999998,0.3260663449764252,0.1
ANT04.2012,0.0,26.625,39.0,102.01559109157984,103.76046413845484,152.1465589735243,102.46776156955296,102.06154717339408,9.555555555555555,8.888888888888891,25.777777777777786,28.55555555555556,63.22222222222222,60.88888888888889,607.0,874.0,1112.111111111111,2084.0,2474.6666666666665,1526.5555555555554,4401637,4090602,4108774,3689780,1851852,1545706,3312323,3041302,33244743,30337489,1291000,1210000,2441069,2280724,-1275239,-1198389,1275239,1198389,-646590,-855638,1675039,1539358,1928912,1778917,25718344,23844394,12919372,12724383,19906806,18739135,29270833,28314264,22656545,22251973,11381306,11874600,17686688,17466311,13690052,13726646,6877071,7325123,6042427,6168732,1.8311831809114665e-05,3552.599999999989,0.024528918787837,4494.5,0.0889531672000885,8021.7,0.0441730394959449,6472.9,0.138423278927803,0.1731136441230774,0.8250000000000001,580.6000000000003,0.3239567279815674,0.1
