site_clean,AGB,b1_wfp_dry_p99,b1_ccw_dry_p99,b1_hsd_p99,b1_hmc_p99,b1_hcv_p99,b1_h99_p99,b1_h25_p99,b1_dp1fm_p99,b1_dp1fm_dry_p99,b2_dp1fm_p99,b2_dp1fm_dry_p99,b3_dp1fm_p99,b3_dp1fm_dry_p99,b1_dbifm_p99,b2_dbifm_p99,b3_dbifm_p99,b4_dbifm_p99,b5_dbifm_p99,b6_dbifm_p99,dbifmdry_GNDVI,dbifman_GNDVI,dbifmdry_MSR,dbifman_MSR,dbifmdry_NBR,dbifman_NBR,dbifmdry_NDVI,dbifman_NDVI,dbifmdry_CVI,dbifman_CVI,dbifmdry_GDVI,dbifman_GDVI,dbifmdry_GSAVI,dbifman_GSAVI,dbifmdry_NDGI,dbifman_NDGI,dbifmdry_RI,dbifman_RI,dbifmdry_NDII,dbifman_NDII,dbifmdry_MSAVI,dbifman_MSAVI,dbifmdry_SAVI,dbifman_SAVI,dbifmdry_r42,dbifman_r42,dbifmdry_r32,dbifman_r32,dbifmdry_r43,dbifman_r43,dbifmdry_r52,dbifman_r52,dbifmdry_r53,dbifman_r53,dbifmdry_r54,dbifman_r54,dbifmdry_r62,dbifman_r62,dbifmdry_r63,dbifman_r63,dbifmdry_r64,dbifman_r64,dbifmdry_r65,dbifman_r65,dr_dsii,dr_wsum,dr_wsii,tx_dsum,tx_dsii,tx_wsum,tx_wsii,rx_wsum,rx_wsii,rx_dsii,ma_ammd,ma_asum,ma_dsii,ma_dmmd
AGB02.2012,0.0,52.76000000000001,74.84,104.94048553466791,109.89459136962893,162.0178076171875,118.24983825683591,105.94831298828124,11.92,11.0,51.76,47.9,45.92,45.96,342.72,531.76,694.0,2123.8,2070.08,1352.32,5566970,6078746,6047316,9091382,1964774,3018868,4405850,5694118,47885270,46129611,1409000,1513000,2806400,3030445,-1538462,-588235,1538462,588235,-383207,349108,2022182,2531772,2336781,2884768,35115865,40938850,13648247,11243464,25729212,36411241,37914439,38188225,27779713,33964820,10796954,9328114,23594771,21952717,17287767,19524869,6719120,5362319,6223163,5748556,0.000278036633972,4590.599999999975,0.024102184921503,5040.7,0.0443271771073341,7398.100000000009,0.0385542996227741,11355.699999999992,0.0927514061331749,0.1011524498462677,5.8500000000000005,1742.8999999999994,0.4177177250385285,3.4000000000000004
AMG03.2012,0.0,8.560000000000002,15.340000000000003,101.92044258117676,103.92045776367188,146.50946212768554,107.36005424499513,102.88200096130372,7.8900000000000015,2.890000000000001,12.0,16.560000000000002,90.78,90.0,617.69,1043.0,1701.87,2966.06,3481.02,2287.34,5460945,4960795,4099401,3557840,1429988,1517103,3306405,2953157,58363315,47951718,1629000,1898000,3060879,3225697,-2629287,-2352241,2629287,2352241,-1452928,-791506,1787156,1886128,2030475,2078246,34056848,29693119,17141627,16155775,19867920,18379261,45633075,34799447,26621205,21539943,13399090,11719701,25540790,21868949,14899864,13536305,7499458,7364989,5596991,6284281,6.592364115931559e-06,3724.19999999998,0.0243236757814884,4625.800000000001,0.0880626067519187,7926.599999999998,0.050365675240755,7394.599999999998,0.1362654566764831,0.1484608352184295,2.0500000000000003,808.7999999999995,0.2467153221368789,0.3
AMG05.2012,24670.8,39.0,60.0,104.69976188659668,107.45199401855469,165.55808441162108,115.97830574035645,103.5287553405762,19.67,11.0,23.78,40.0,69.0,59.56,418.6700000000001,678.48,885.34,1824.27,2412.6,1853.87,5793397,4566004,7222079,4008002,2241024,-67818,4957136,3248355,47524435,36617590,1088000,1010000,2372783,2100666,-1173184,-1547117,1173184,1547117,-539075,-1695876,1753382,1328451,2111557,1594456,37477895,26777008,12648421,13648199,29630493,19619444,41738947,37718837,32999334,27636493,11136951,14086277,23753684,27149584,18779960,19892429,6338052,10139140,5691012,7197885,6.592364115931559e-06,3732.399999999984,0.0243385098874568,4619.600000000001,0.0877824947237968,7913.799999999997,0.0508551076054573,7436.299999999997,0.1342026889324188,0.1462162286043167,2.125,808.4999999999999,0.2490084916353225,0.3
AMG06.2012,3086.16,37.0,58.0,104.31260528564452,107.4299462890625,170.41256958007813,115.10172973632812,103.53210174560547,28.840000000000003,6.92,27.92,39.0,51.92,63.92,367.68,759.72,1078.64,2080.76,2069.12,1437.6,5341797,4888319,5995724,4180551,2197205,2119225,4379863,3357424,42394332,42186907,1094000,1335000,2328320,2590221,-1255729,-1831480,1255729,1831480,-836979,106885,1668140,1645692,1997912,1905768,32953645,29100159,12886094,14478537,25573030,20098825,38956441,28478537,30231381,19669485,11821588,9786385,21076171,18923688,16355748,13070166,6395702,6502950,5410189,6644895,1.0254757398797665e-05,3746.8999999999824,0.0243406724184751,4615.300000000001,0.0877429395914077,7901.700000000005,0.0513415746390819,7468.799999999997,0.1329301297664642,0.1456756442785263,2.125,822.0999999999997,0.2479025721549988,0.3
AMG10.2012,2832.032,22.89,38.78,103.43773429870606,106.84046394348144,182.13036926269533,113.16068603515627,104.59805770874024,2.0,2.890000000000001,39.67,28.89,73.0,76.78,438.48,656.8900000000001,925.78,2063.69,2649.45,1625.2399999999998,5260295,5261137,5191686,5173771,1178145,1377040,3953819,3943860,44917065,45044144,1354000,1370000,2681542,2702525,-1649555,-1662162,1649555,1662162,-1367033,-1267853,1841765,1854927,2136276,2147771,32180205,32183536,13944027,13989204,23078128,23005981,42374061,41533063,30388682,29689369,13167741,12905065,25406143,24391363,18220090,17435848,7894960,7578833,5995683,5872758,2.539220622566063e-05,3781.999999999983,0.0243025720119476,4592.899999999998,0.0870648175477981,7836.2,0.0542026571929454,7693.200000000003,0.1238459199666976,0.138587549328804,2.8500000000000005,916.1,0.2683544158935547,0.7000000000000001
ANT01.2012,0.0,1.0,1.99,101.19923469543455,102.33327255249024,148.27826721191406,105.48940536499023,101.2970107269287,23.89,19.89,7.780000000000001,5.780000000000001,79.89,84.89,884.93,1187.8000000000004,1557.9,2437.8100000000004,3215.23,2397.67,3187001,3380076,2126164,2343498,-87851,159716,1904272,2074875,25478188,26812335,1118000,1157000,1971086,2060430,-1365607,-1403642,1365607,1403642,-1751070,-1616328,1093678,1174111,1249156,1342545,19350993,20198442,13160683,13263266,14703639,15228860,27567097,27989857,20946554,21103292,14245830,13857434,19693970,19563428,14964246,14750083,10177240,9685612,7144013,6989470,2.832209247571882e-05,3591.199999999986,0.0244569033384323,4519.999999999999,0.0867699086666107,7991.899999999998,0.0435440875589847,6767.499999999997,0.1352514624595642,0.1581661850214004,1.425,641.5000000000001,0.3085158169269562,0.2
ANT02.2012,0.0,12.8,22.70000000000001,102.48598052978517,104.73447334289553,164.10548751831055,103.4392308807373,102.26860443115234,16.0,11.78,18.89,20.78,79.0,85.89,672.46,978.47,1367.59,2168.61,3053.6,1966.79,4041681,3967485,3152178,3058470,795902,606777,2673451,2606931,32106672,31438010,1183000,1147000,2238552,2180332,-1533981,-1517510,1533981,1517510,-1444629,-1576971,1360000,1312306,1577702,1526880,23563515,23144822,13618911,13577570,17302055,17046366,31517670,31817921,23142577,23434180,13375623,13747317,20083095,20497707,14746476,15096742,8522962,8856282,6372011,6442189,1.6114490790641867e-05,3553.099999999988,0.0245291106402874,4494.200000000002,0.089172713458538,8021.5,0.0441029034554958,6471.000000000001,0.1397266983985901,0.1747470796108245,0.75,571.1999999999998,0.3260663449764252,0.1
ANT03.2012,665.28,71.0,90.0,102.66925300598145,105.4723085784912,145.41422683715822,103.30634780883793,105.27030982971192,6.0,5.8900000000000015,53.67,65.0,56.12000000000001,47.12000000000001,586.35,832.9,942.9,2577.55,2672.12,1595.04,5523507,4970949,7320508,6270403,3374751,2325272,5000000,4516432,40085075,33475721,1915000,1540000,3392583,2852556,-723252,-586103,723252,586103,357968,-333472,2866948,2348310,3133442,2641245,34688574,29764756,11566796,11247861,29989787,26462592,32284149,31811377,27911057,28282156,9306854,10687599,17178909,18539350,14851917,16482555,4952325,6228625,5321159,5827899,1.6114490790641867e-05,3553.099999999988,0.0245291106402874,4494.200000000002,0.089172713458538,8021.5,0.0441029034554958,6471.000000000001,0.1397266983985901,0.1747470796108245,0.75,571.1999999999998,0.3260663449764252,0.1
ANT04.2012,0.0,36.79,57.68000000000001,102.6987600708008,103.99907440185552,160.52452880859374,103.12939849853517,102.43966674804688,12.0,11.92,34.84,38.84,80.8,80.88,669.44,923.28,1232.28,2198.48,2630.72,1640.64,4401637,4090602,4108774,3689780,1851852,1545706,3312323,3041302,33244743,30337489,1291000,1210000,2441069,2280724,-1275239,-1198389,1275239,1198389,-646590,-855638,1675039,1539358,1928912,1778917,25718344,23844394,12919372,12724383,19906806,18739135,29270833,28314264,22656545,22251973,11381306,11874600,17686688,17466311,13690052,13726646,6877071,7325123,6042427,6168732,1.8311831809114665e-05,3552.599999999989,0.024528918787837,4494.5,0.0889531672000885,8021.7,0.0441730394959449,6472.9,0.138423278927803,0.1731136441230774,0.8250000000000001,580.6000000000003,0.3239567279815674,0.1
ANT06.2012,6006.0,58.84,80.84,104.02727142333984,103.15317016601564,149.64027099609376,105.60563110351562,105.08582427978516,17.0,13.92,46.0,54.84,44.84,45.0,543.6800000000002,749.36,895.2,2066.04,1904.84,1158.88,5207477,5068595,6601499,5987416,3560000,3337709,4675325,4375663,36533498,36529821,1393000,1367000,2722476,2664025,-703408,-890411,703408,890411,796178,583333,2180429,2061183,2501287,2370640,31693213,30547762,11507964,11952238,27540244,25558195,27030817,27184369,23488792,22744167,8528898,8898972,15057133,15257181,13084098,12765125,4750901,4994533,5570358,5612483,2.1974132323521196e-05,3557.299999999986,0.0245226584374904,4493.800000000001,0.0889759212732315,8020.299999999997,0.0439812541007995,6479.699999999996,0.1376033723354339,0.1718160212039947,0.925,584.4,0.3207373321056366,0.1
